ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2297503,Liebherr,CBS1360,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.2,23.5,12,14.5,480,529,11,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CBS1360_06132017025112_70142355,No
2330837,Liebherr,CBS1360N,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.2,23.5,12,14.5,480,529,11,No,,,,11/01/2018,10/05/2018,"United States, Canada",ES_1017655_CBS1360N_12052018035621_70208456,No
2297510,Liebherr,CBS1660,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.5,29.4,15,18.3,488,563,16,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CBS1660_06132017025112_70142355,No
2297511,Liebherr,CBS1661,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,79.5,29.4,15,18.3,488,563,16,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CBS1661_06132017025112_70142355,No
2235137,Liebherr,CBS 2062,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,80.3,35.8,18.9,23.5,528,609,15,No,,,,12/01/2014,11/03/2014,"United States, Canada",ES_1017655_CBS 2062_03262015113425_2776970,No
2312314,Liebherr,CBS2082,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,80.3,35.9,18.9,23.5,528,609,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_CBS2082_03062018040405_70174509,No
2330838,Liebherr,CBS2082N,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,80.3,35.8,18.9,23.5,528,609,15,No,,,,11/01/2018,10/05/2018,"United States, Canada",ES_1017655_CBS2082N_12052018035621_70208456,No
2297500,Liebherr,CS1210,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,Yes,71.6,23.5,11.1,13.6,348,437,20,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1210_06132017025112_70142355,Yes
2297801,Liebherr,CS1321,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,Yes,79.2,23.5,12.7,15.2,380,452,16,No,,,,05/29/2017,06/09/2017,"United States, Canada",ES_1017655_CS1321_06132017025112_70142355,No
2330836,Liebherr,CS1321N,,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,Yes,79.2,23.5,12.7,15.2,380,452,16,No,,,,11/01/2018,10/05/2018,"United States, Canada",ES_1017655_CS1321N_12052018035621_70208456,No
