ENERGY STAR Unique ID,ENERGY STAR Partner,Model Name,Model Number or Rebuilt Model Number,Additional Model Information,Product Type,Original Equipment Manufacturer (OEM),OEM Model Name,OEM Model Number,Door Type,Conditions for Expected Use,Vending Capacity (C),Energy Use (kWh/day),Refrigerated Volume (cu. ft.),Energy Saving Component Type,Energy Saving Kit or Component OEM,Energy Saving Kit or Component Model Number,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2186311,"The Wittern Group, Inc.",3W Dual Zone,3568,,New,,,,Glass Front,Indoor Only,308,3.5,20.95,None,,,04/01/2013,07/18/2013,United States,ES_1060996_3568_07232013122314_7000184
2186318,"The Wittern Group, Inc.",AB 3W Dual Zone 27/182,3568,,New,,,,Glass Front,Indoor Only,308,3.5,20.95,None,,,04/01/2013,07/18/2013,United States,ES_1060996_3568_07232013122321_7000184
2186325,"The Wittern Group, Inc.",3W Dual Zone,3568,,New,,,,Glass Front,Indoor Only,308,3.5,20.95,None,,,04/01/2013,07/18/2013,United States,ES_1060996_3568_07232013122328_7000184
2186332,"The Wittern Group, Inc.",Alpine VT3000,3568,,New,,,,Glass Front,Indoor Only,308,3.5,20.95,None,,,04/01/2013,07/18/2013,United States,ES_1060996_3568_07232013122335_7000184
2186306,"The Wittern Group, Inc.",Summit 300 Satellite,3569,,New,,,,Closed Front,Indoor Only,300,3.5,12.3,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3569_07232013122307_7000184
2186313,"The Wittern Group, Inc.",CB300 Satellite,3569,,New,,,,Closed Front,Indoor Only,300,3.5,12.3,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3569_07232013122316_7000184
2186320,"The Wittern Group, Inc.",AB 6/300 Satellite,3569,,New,,,,Closed Front,Indoor Only,300,3.5,12.3,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3569_07232013122323_7000184
2186327,"The Wittern Group, Inc.",BC6 Satellite,3569,,New,,,,Closed Front,Indoor Only,300,3.5,12.3,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3569_07232013122330_7000184
2186334,"The Wittern Group, Inc.",Summit 300 Satellite,3569,,New,,,,Closed Front,Indoor Only,300,3.5,12.3,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3569_07232013122337_7000184
2186300,"The Wittern Group, Inc.",Summit 500,3578,,New,,,,Closed Front,Indoor Only,500,3.6,17.9,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3578_07232013122338_7000184
2186307,"The Wittern Group, Inc.",Summit 500,3578,,New,,,,Closed Front,Indoor Only,500,3.6,17.9,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3578_07232013122308_7000184
2186314,"The Wittern Group, Inc.",CB500,3578,,New,,,,Closed Front,Indoor Only,500,3.6,17.9,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3578_07232013122317_7000184
2186321,"The Wittern Group, Inc.",AB 10/500 Cold Drink,3578,,New,,,,Closed Front,Indoor Only,500,3.6,17.9,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3578_07232013122324_7000184
2186328,"The Wittern Group, Inc.",BC 10,3578,,New,,,,Closed Front,Indoor Only,500,3.6,17.9,None,,,03/01/2013,07/18/2013,United States,ES_1060996_3578_07232013122331_7000184
