ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Oven Type,Size,Fuel Type,Input Rate (kW),Input Rate (Btu/hr),Electric Oven Convection Mode Idle Energy Rate (kW),Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr),Gas Oven Convection Mode Cooking Energy Efficiency (%),Electric Oven Convection Mode Cooking Energy Efficiency (%),Door Type,Additional Door Type(s),Method of Steam Generation,Steam Pan Capacity,Half-Size Sheet Pan Capacity,Full-Size Sheet Pan Capacity,Gas Oven Convection Mode Electric Idle Energy Rate (kW),Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr),Gas Oven Steam Mode Electric Idle Energy Rate (kW),Electric Oven Steam Mode Idle Energy Rate (kW),Convection Mode Production Capacity (lbs/hr),Convection Mode Average Water Consumption Rate (gallons/hr),Gas Oven Steam Mode Cooking Energy Efficiency (%),Electric Oven Steam Mode Cooking Energy Efficiency (%),Steam Mode Production Capacity (lbs/hr),Steam Mode Average Water Consumption Rate (gallons/hr),Rack Oven Baking-Energy Efficiency (%),Baking Production Capacity (lbs/hr),Set-Back Idle Mode,Date Available on Market,Date Certified,Markets,CB Model Identifier
2210297,Southbend,Southbend,SLGS/12SC (W/ NRG),SLGS/12SC (W/ NRG),"SLGS/22SC, SLGS/12CCH, SLGS/22CCH,SLGS/22SC, SLGS/12CCH, SLGS/22CCH,With NRG",Convection,Full-size,Gas,,72000,,9432,48,,Glass,Solid,,,,5,0.44,,,,96.2,,,,,,,,,05/05/2014,05/12/2014,"United States, Canada",ES_1062537_SLGS/12SC (W/ NRG)_05122014014510_8888888
2265067,Southbend,Southbend,BES/17SC,BES/17SC,"BES/27SC , BES/17CCH , BES/27CCH, SLES/17SC , SLES/27SC , SLES/17CCH , SLES/27CCH, ES/17SC , ES/27SC , ES/17CCH , ES/27CCH, KES/17SC , KES/27SC , KES/17CCH , KES/27CCH,,BES/27SC , BES/17CCH , BES/27CCH, SLES/17SC , SLES/27SC , SLES/17CCH , SLES/27CCH, ES/17SC , ES/27SC , ES/17CCH , ES/27CCH, KES/17SC , KES/27SC , KES/17CCH , KES/27CCH,,KLES/17SC , KLES/27SC , KLES/17CCH , KLES/27CCH, KS/17SC , KS/27SC , KS/17CCH , KS/27CCH",Convection,Full-size,Electric,8.4,,1.34,,,76,Glass,Solid,,,,5,,,,,91.8,,,,,,,,,08/19/2015,04/19/2016,"United States, Canada",ES_1062537_BES/17SC_04202016040632_70074929
2246604,Southbend,Southbend,BGS/13SC,BGS/13SC,"BGS/23SC , BGS/13CCH , BGS/23CCH , KLGS/13SC , KLGS/23SC , KLGS/13CCH , KLGS/23CCH , SLGS/13SC , SLGS/23SC , SLGS/13CCH , SLGS/23CCH , GS/13SC , GS/23SC , GS/13CCH , GS/23CCH,BGS/23SC , BGS/13CCH , BGS/23CCH , KLGS/13SC , KLGS/23SC , KLGS/13CCH , KLGS/23CCH , SLGS/13SC , SLGS/23SC , SLGS/13CCH , SLGS/23CCH , GS/13SC , GS/23SC , GS/13CCH , GS/23CCH,",Convection,Full-size,Gas,,40000,,6798,51,,Glass,Solid,,,,5,0.41,,,,78.2,,,,,,,,,08/19/2015,08/25/2015,"United States, Canada",ES_1062537_BGS/13SC_08272015053332_70044515
2207251,Southbend,Southbend,ES/10SC,ES/10SC,"ES/20SC, ES/10CCH, ES/20CCH,ES/20SC, ES/10CCH, ES/20CCH,",Convection,Full-size,Electric,12,,1.36,,,74,Glass,Solid,,,,5,,,,,95,,,,,,,,,01/01/1998,03/24/2014,"United States, Canada",ES_1062537_ES/10SC_03312014032829_8888888
2210296,Southbend,Southbend,GS/15SC,GS/15SC,"GS/25SC, GS/15CCH, GS/25CCH,GS/25SC, GS/15CCH, GS/25CCH,",Convection,Full-size,Gas,,90000,,8983,49,,Glass,Solid,,,,5,0.44,,,,94,,,,,,,,,05/05/2014,05/12/2014,"United States, Canada",ES_1062537_GS/15SC_05122014014549_8888888
2295100,The Montague Company,Montague,HX63A,HX63A,",HX2-63A,; ,HX2-63AH,; ,HX2-63AR,; ,HX63AH,; ,HX63AR,",Convection,Full-size,Gas,,62184,,9864,49,,Glass/Solid,N/A,,,,5,0.64,,,,96.9,,,,,,,,,01/01/2015,04/27/2017,United States,ES_1084423_HX36A_04172017085849_484735
2305356,UNOX S.p.A.,UNOX S.p.A.,XEFT-10EU-****-*,XEFT-10EU-****-*,,Convection,Full-size,Electric,15.5,,1.6,,,85,Glass,N/A,,,,10,,,,,188.69,,,,,,,,,10/09/2017,10/20/2017,"United States, Canada",ES_1134474_XEFT-10EU-****-*_10202017170444_9084285
2309806,UNOX S.p.A.,UNOX S.p.A.,XAFT-03FS-E***,XAFT-03FS-E***,,Convection,Full-size,Electric,3.8,,0.85,,,82,Glass,N/A,,,,3,,,,,46.99,,,,,,,,,01/29/2018,01/31/2018,"United States, Canada",ES_1134474_XAFT-03FS-E***_01312018192003_6403539
2309810,UNOX S.p.A.,UNOX S.p.A.,XAFT-03HS-E***,XAFT-03HS-E***,,Convection,Half-size,Electric,3.3,,0.76,,,82,Glass,N/A,,,,3,,,,,29.6,,,,,,,,,01/29/2018,01/31/2018,"United States, Canada",ES_1134474_XAFT-03HS-E***_01312018195140_8300580
2309812,UNOX S.p.A.,UNOX S.p.A.,XAFT-03HS-L****,XAFT-03HS-L****,,Convection,Half-size,Electric,1.44,,0.74,,,73,Glass,N/A,,,,3,,,,,12.54,,,,,,,,,01/29/2018,01/31/2018,"United States, Canada",ES_1134474_XAFT-03HS-L****_01312018195851_8731634
