ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Product Form Factor,Number of glass doors,Number of solid doors,Total Number of Doors,Door Opening Orientation,Number of Internal Ports and/or Access Holes,Number of Drawers or Shelves,Defrost Type,Refrigerant Type,Refrigerant Type Other,Total Volume (cubic feet),Average Test Cabinet  (ºC),Peak Temperature Variance (ºC),Lab Grade Refrigerator or Freezer Energy Consumption (kWh/day),Ultra-Low Temperature Freezer Energy Consumption (kWh/day/cu-ft),Steady State Energy Consumption (kWh/day),Maximum Daily Energy Allowance (kWh/day),Depth (in),Height,Width,Installed Accessories,Date Available on Market,Date Qualified,Markets,ENERGY STAR Model Identifier
2291002,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2304BA,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,7,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,Chart Recorder,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2304BA_02172017140255_0175243
2296321,PHC Corporation of North America,Panasonic,SR-L6111W-PA,SR-L6111W-PA,,High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",0,2,Automatic,R-134a,,5.53,3.8,3.56,0.82,,0.75,4.52,24.25,33.5,23.62,"shelves only, no additional electrical",11/01/2012,05/18/2017,"United States, Canada",ES_1139382_SR-L611W-PA_05192017104903_0943635
2296323,PHC Corporation of North America,Panasonic,MPR-514-PA,MPR-514-PA,",MPR-514R-PA,",High Performance Refrigerator,Upright,2,0,2,Sliding,0,5,Automatic,R-134a,,17.23,4.35,3.28,6.27,,6.23,6.67,23.5,69.5,35.5,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MPR-514-PA_05192017115621_4981361
2296324,PHC Corporation of North America,Panasonic,SF-L6111W-PA,SF-L6111W-PA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",0,2,Manual,R-134a,,5.26,-20.82,6.5,1.69,,1.64,10.47,17.75,69.88,31.5,"shelves only, no additional electrical",11/01/2012,05/18/2017,"United States, Canada",ES_1139382_SF-L6111W-PA_05192017120107_5267529
2296325,PHC Corporation of North America,Panasonic,MDF-U731M-PA,MDF-U731M-PA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",0,5,Manual,R-404A,,23.8,-19.47,9.39,2.89,,2.69,12.77,32.75,74.25,30.25,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MDF-U731M-PA_05192017120438_5478524
2296326,PHC Corporation of North America,Panasonic,MDF-U731-PA,MDF-U731-PA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",0,4,Automatic,R-404A,,21.86,-19.56,8.56,6.55,,6.28,11.96,33,74.13,30.25,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MDF-U731-PA_05192017121215_5935129
2296327,PHC Corporation of North America,Panasonic,MPR-1411-PA,MPR-1411-PA,",MPR-1411R-PA,",High Performance Refrigerator,Upright,2,0,2,"Swinging,Left,Right",0,4,Automatic,R-404A,,49.28,5.07,4.56,9.14,,9.09,11.66,32.87,74.25,56.75,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MPR-1411-PA_05192017121533_6133222
2296328,PHC Corporation of North America,Panasonic,MPR-721-PA,MPR-721-PA,",MPR-721R-PA,",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",0,4,Automatic,R-134a,,23.94,5.09,4.06,6.42,,6.23,7.9,32.87,74.25,30.5,"shelves only, no additional electrical",04/01/2012,05/18/2017,"United States, Canada",ES_1139382_MPR-721-PA_05192017122035_6435134
2296465,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320EA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,9,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320EA_05192017213624_9784355
2296466,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320FA,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,4,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320FA_05222017200459_3499964
2296541,Helmer Scientific,Helmer Scientific,HLR256,HLR256,",HB256,""H"" designates the Horizon controller,  ""B"" designates Blood Bank Refrrigerator. The ""2""  designates the the number of doors ad the ""56"" designates the cabinet size in Cubic Feet.; ,HLR256,""H"" designates the Horizon controller,  ""LR"" designates Laboratory Refrigerator. The ""2"" designates the the number of doors ad the ""56"" designates the cabinet size in Cubic Feet.; ,HPR256,""H"" designates the Horizon controller,  ""PR"" designates Pharmacy Refrigerator. The ""2""  designates the the number of doors ad the ""56"" designates the cabinet size in Cubic Feet.",High Performance Refrigerator,Upright,2,0,2,"Swinging,Left,Right",1,8,Variable,R-134a,,53.59,4.2,4.3,8.87,,8.6,12.19,34.5,78.5,59,0,05/10/2017,06/12/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_HLR256_05102017174653_3896295
2296542,Helmer Scientific,Helmer Scientific,HLR245,HLR245,",HB245,""H"" designates the H Series controller,  ""B"" designates Blood Bank Refrrigerator. The ""2""  designates the the number of doors ad the ""45"" designates the cabinet size in Cubic Feet.; ,HLR245,""H"" designates the H Series controller,  ""LR"" designates Laboratory Refrigerator. The ""2""  designates the the number of doors ad the ""45"" designates the cabinet size in Cubic Feet.; ,HPR245,""H"" designates the H Series controller,  ""PR"" designates Pharmacy Refrigerator. The ""2""  designates the the number of doors ad the ""45"" designates the cabinet size in Cubic Feet.",High Performance Refrigerator,Upright,2,0,2,"Swinging,Left,Right",1,8,Variable,R-134a,,42.57,3.9,1.9,8.72,,8.37,10.79,28,78.5,59,0,05/10/2017,05/24/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_HLR245_05112017120730_1159326
2296543,Helmer Scientific,Helmer Scientific,ILR125,ILR125,",IB125,""I"" designates the I Series controller,  ""B"" designates Blood Bank Refrrigerator. The ""1""  designates the the number of doors ad the ""25"" designates the cabinet size in Cubic Feet.; ,ILR125,""I"" designates the I Series controller,  ""LR"" designates Laboratory Refrigerator. The ""1""  designates the the number of doors ad the ""25"" designates the cabinet size in Cubic Feet.; ,IPR125,""I"" designates the I Series controller,  ""PR"" designates Pharmacy Refrigerator. The ""1""  designates the the number of doors ad the ""25"" designates the cabinet size in Cubic Feet.",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,4,Variable,R-134a,,24.41,4.2,2.4,6.55,,6.31,7.99,37,78.5,29,0,04/28/2017,06/09/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_ILR125_05082017084941_9560052
2296554,Helmer Scientific,Helmer Scientific,ILR120,ILR120,",IB120,""I"" designates the I Series controller,  ""B"" designates Blood Bank Refrrigerator. The ""1""  designates the the number of doors ad the ""20"" designates the cabinet size in Cubic Feet.; ,ILR120,""I"" designates the I Series controller,  ""LR"" designates Laboratory Refrigerator. The ""1"" designates the the number of doors ad the ""20"" designates the cabinet size in Cubic Feet.; ,IPR120,""I"" designates the I Series controller,  ""PR"" designates Pharmacy Refrigerator. The ""1""  designates the the number of doors ad the ""20"" designates the cabinet size in Cubic Feet.",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,4,Variable,R-134a,,19.44,4.1,2.6,6.33,,6.18,7.08,28.5,78.5,29,0,04/28/2017,06/12/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_ILR120_05082017103714_5535241
2296555,Helmer Scientific,Helmer Scientific,HLR120,HLR120,",HB120,""H"" designates the Horizon controller,  ""B"" designates Blood Bank Refrrigerator. The ""1""  designates the the number of doors ad the ""20"" designates the cabinet size in Cubic Feet.; ,HLR120,""H"" designates the Horizon controller,  ""LR"" designates Laboratory Refrigerator. The ""1""  designates the the number of doors ad the ""20"" designates the cabinet size in Cubic Feet.; ,HPR120,",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,4,Variable,R-134a,,19.44,4.4,1.7,6.65,,6.48,7.08,28.5,78.5,29,0,04/28/2017,06/12/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_HLR120_05082017102024_6926538
2296556,Helmer Scientific,Helmer Scientific,ILR245,ILR245,",IB245,""I"" designates the I Series controller,  ""B"" designates Blood Bank Refrrigerator. The ""2""  designates the the number of doors ad the ""45"" designates the cabinet size in Cubic Feet.; ,ILR245,""I"" designates the I Series controller,  ""LR"" designates Laboratory Refrigerator. The ""2""  designates the the number of doors ad the ""45"" designates the cabinet size in Cubic Feet.; ,IPR245,""I"" designates the I Series controller,  ""PR"" designates Pharmacy Refrigerator. The ""2""  designates the the number of doors ad the ""45"" designates the cabinet size in Cubic Feet.",High Performance Refrigerator,Upright,2,0,2,"Swinging,Left,Right",1,8,Variable,R-134a,,42.57,4,2.6,8.91,,8.62,10.8,31,79.5,59,0,04/28/2017,06/09/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_ILR245_05112017205000_7331201
2296706,Helmer Scientific,Helmer Scientific,ILR256,ILR256,",IB256,""I"" designates the I Series controller,  ""B"" designates Blood Bank Refrrigerator. The ""2""  designates the the number of doors ad the ""56"" designates the cabinet size in Cubic Feet.; ,ILR256,""I"" designates the I Series controller,  ""LR"" designates Laboratory Refrigerator. The ""2""  designates the the number of doors ad the ""56"" designates the cabinet size in Cubic Feet.; ,IPR256,""I"" designates the I Series controller,  ""PR"" designates Pharmacy Refrigerator. The ""2""  designates the the number of doors ad the ""56"" designates the cabinet size in Cubic Feet.",High Performance Refrigerator,Upright,2,0,2,"Swinging,Left,Right",1,8,Variable,R-134a,,53.59,3.7,3.05,9.43,,9.05,12.19,36.5,78.5,59,0,05/10/2017,05/30/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_IPR256_05082017082842_5374566
2296711,Helmer Scientific,Helmer Scientific,HLR125,HLR125,",HB125,""H"" designates the Horizon controller,  ""B"" designates Blood Bank Refrrigerator. The ""1""  designates the the number of doors ad the ""25"" designates the cabinet size in Cubic Feet.; ,HLR125,""H"" designates the Horizon controller,  ""LR"" designates Laboratory Refrigerator. The ""1""  designates the the number of doors ad the ""25"" designates the cabinet size in Cubic Feet.; ,HPR125,""H"" designates the Horizon controller,  ""PR"" designates Pharmacy Refrigerator. The ""1""  designates the the number of doors ad the ""25"" designates the cabinet size in Cubic Feet.",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,4,Variable,R-134a,,24.41,4.4,2.9,7.04,,6.83,7.99,34.5,78.5,29,0,04/28/2017,06/07/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_HPR125_05082017101330_3121301
2297068,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320ED,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,9,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320ED_06052017200743_3263489
2297069,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320EV,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,9,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320EV_06052017200815_3295898
2297070,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320FD,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,4,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320FD_06052017200955_3395847
2297071,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2320FV,,High Performance Freezer,Upright,0,1,1,"Swinging,Right",1,4,Manual,R-290,,22.88,-20.33,8.76,5.83,,5.58,12.38,34,78.5,28,None,10/28/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2320FV_06052017201030_3430098
2297369,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2304BV,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,7,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,Chart Recorder,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2304BV_06062017152623_2783895
2297370,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305GA,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,4,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,None,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2305GA_06062017152717_2837036
2297371,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305GD,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",0,3,Automatic,R-290,,20.57,3.71,2.39,4.58,,4.27,7.28,36.25,78.5,28,"Wire Shelves, Glass Door",10/22/2016,06/05/2017,"United States, Taiwan, Canada",ES_1075790_TSX2305GD_06062017152821_2901510
2297372,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305GV,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,4,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,None,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2305GV_06062017152923_2963465
2297373,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305PA,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,6,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,None,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2305PA_06062017153023_3023276
2297374,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2304BD,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,7,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,Chart Recorder,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2304BD_06062017152526_2726459
2297375,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305PD,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,6,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,None,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2305PD_06062017154032_3632786
2297376,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305PV,,High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,6,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,None,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2305PV_06062017154126_3686961
2297377,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305SD,,High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",1,4,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,None,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2305SD_06062017154259_3779006
2297378,Thermo Fisher Scientific LLC,Thermo Fisher,TSX,TSX2305SV,,High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",1,4,Semi-Automatic,R-290,,20.62,3.68,2.33,4.46,,4.39,7.29,34,78.5,28,None,10/22/2016,04/30/2018,"United States, Canada",ES_1075790_TSX2305SV_06062017154328_3808755
2300484,"Global Cooling, Inc.",Stirling Ultracold,SU780XLE,SU780XLE,,Ultra-Low Temperature Freezer,Upright,0,1,1,Right,2,2,Manual,Other,None,27.5,,22.9,,0.29,,,27.5,60.7,29.1,None,07/11/2017,07/24/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1136708_SU780XLE_07102017151233_5310785
2300485,"Global Cooling, Inc.",Stirling Ultracold,SU780UE,SU780UE,,Ultra-Low Temperature Freezer,Upright,0,1,1,Swinging,2,2,Manual,Other,R170,27.5,,44.9,,0.32,,,27.5,60.5,29.1,None,07/11/2017,07/24/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1136708_SU780UE_07102017141350_5714380
2301261,Thermo Fisher Scientific LLC,Thermo Fisher,TSX400A,TSX400A,",TSX400D,; ,TSX400V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,19.15,-75,16.8,,0.48,,,35.75,77.75,28.25,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_TSX400A_08022017155521_9321560
2301316,Thermo Fisher Scientific LLC,Thermo Fisher,TSX600A,TSX600A,",TSX600D,; ,TSX600V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,28.53,-75,13.92,,0.38,,,35.75,77.81,39.5,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_TSX600A_08032017131231_5952005
2301322,Thermo Fisher Scientific LLC,Thermo Fisher,TSX40086A,TSX40086A,",TSX40086D,; ,TSX40086V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,19.24,-75,13.14,,0.49,,,36,77.87,28.5,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_TSX40086A_08032017135742_8662870
2301333,Thermo Fisher Scientific LLC,Thermo Fisher,TSX50086A,TSX50086A,",TSX50086D,; ,TSX50086V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,23.84,-75,22.93,,0.45,,,36,77.87,34.25,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_TSX50086A_08032017142152_0112718
2301340,Thermo Fisher Scientific LLC,Thermo Fisher,TSX60086A,TSX60086A,",TSX60086D,; ,TSX60086V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,28.67,-75,16.36,,0.39,,,36,77.87,39.5,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_TSX60086A_08032017144943_1783717
2301346,Thermo Fisher Scientific LLC,Thermo Fisher,TSX70086A,TSX70086A,",TSX70086D,; ,TSX70086V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,33.26,-75,15.39,,0.36,,,36,77.87,45.5,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_TSX70086A_08032017151420_3260935
2301375,Thermo Fisher Scientific LLC,Thermo Fisher,8950086A,8950086A,",8950086D,; ,8950086V,; ,HLE50086A,; ,HLE50086D,; ,HLE50086V,; ,RLE50086A,; ,RLE50086D,; ,RLE50086V,; ,TLE50086A,; ,TLE50086D,; ,TLE50086V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,23.74,-75,18.17,,0.54,,,35.25,77.75,34.25,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_8950086A_08032017164203_8523571
2301391,Thermo Fisher Scientific LLC,Thermo Fisher,8960086A,8960086A,",8960086D,; ,8960086V,; ,HLE60086A,; ,HLE60086D,; ,HLE60086V,; ,RLE60086A,; ,RLE60086D,; ,RLE60086V,; ,TLE60086A,; ,TLE60086D,; ,TLE60086V,",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,3,Manual,R-290,R-170,28.53,-75,14.66,,0.46,,,36,77.75,39.5,"Chart recorder, water-cooled option",07/31/2017,07/31/2017,"United States, Taiwan, Canada",ES_1075790_8960086A_08032017180308_3388300
2303092,PHC Corporation of North America,Panasonic,MPR-1014-PA,MPR-1014-PA,,High Performance Refrigerator,Upright,2,0,2,Sliding,1,2,Automatic,R-404A,,36.48,3.76,5.3,9.46,,9.42,9.86,25,69.25,70.87,None,04/01/2012,09/01/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1139382_MPR-1014-PA_09012017135118_3879095
2303094,PHC Corporation of North America,Panasonic,MDF-DU702VH-PA,MDF-DU702VH-PA,,Ultra-Low Temperature Freezer,Upright,0,3,3,Swinging,1,3,Manual,R-290,R-170,25.74,-75,26.74,,0.31,,,33.75,77.25,40.62,None,07/15/2017,09/01/2017,"United States, Canada",ES_1139382_MDF-DU702VH-PA_09012017141256_5176344
2307153,Helmer Scientific,Helmer Scientific,HB105,HB105,",HB105,Horizon series",High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",1,2,Variable,R-134a,,4.04,38.78,2.01,2.29,,2.21,4.24,26.8,33.8,23.9,0,11/17/2017,12/01/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_HB105_11302017092916_3463861
2307166,Helmer Scientific,Helmer Scientific,iB105,iB105,",iB105,i Series",High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",1,2,Variable,R-134a,,4.04,38.8,1.62,2.38,,2.33,4.24,28,33.8,23.9,0,11/17/2017,12/01/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1133831_iB105_11302017092612_5041009
2307791,Eppendorf North America,Eppendorf,CryoCube,F570h,,Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",0,3,Manual,R-404A,,20.1,,11.4,,0.55,,,33.5,76.4,40.4,None,04/14/2015,12/14/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1139248_F570h_12142017170232_0952894
2309606,Thermo Fisher Scientific LLC,Thermo Fisher Scientific LLC,TSX505SA,TSX505SA,",TSX505SD,",High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",1,3,Variable,Other,,5.48,3.7,4.9,2.65,,2.12,4.51,25.75,32,23.5,0,01/25/2018,08/11/2017,"United States, Canada",ES_1075790_TSX505SA_01252018140155_8547326
2309610,Thermo Fisher Scientific LLC,Thermo Fisher Scientific LLC,TSX505GA,TSX505GA,",TSX505GD,",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,3,Variable,Other,,5.75,3.7,2.6,3.46,,2.75,4.56,26.25,32,23.5,0,01/25/2018,06/16/2017,"United States, Canada",ES_1075790_TSX505GA_01252018153053_9849359
2313932,Standex Scientific Solutions,American BioTech Supply,ABS,ABT-HC-MFP-20,"ABS,ABT-HC-FFP-20,; Horizon Scientific,HS-HC-FLM-F-20-S-P,; Horizon Scientific,HS-HC-LAB-MF-2020-S-P-IM,",High Performance Freezer,Upright,0,1,1,"Swinging,Right",0,6,Manual,Other,R290a,19.06,-20.32,8.64,2.08,,,10.19,27.38,74.5,31,N/A,03/01/2016,03/23/2018,"United States, Canada",ES_1141452_ABT-HC-MFP-20_03252018211817_2697942
2315884,Eppendorf North America,Eppendorf,CryoCube,F740i,",,4 shelf and left door opening configurations also available",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,2,Manual,R-404A,R-508B,26.12,,17.47,,0.52,,,34.25,77.5,40.25,N/A,07/01/2017,03/27/2018,"United States, Canada",ES_1139248_F740i_03272018235841_5121961
2318348,Eppendorf North America,Eppendorf,CryoCube,FC660h,",,4 shelf and left door opening configurations also available",Ultra-Low Temperature Freezer,Chest,0,1,1,Swinging,1,0,Manual,R-404A,R-508B,23.53,,12.33,,0.43,,,33.25,43,81.5,N/A,07/01/2017,03/27/2018,"United States, Canada",ES_1139248_FC660h_03272018235916_5156738
2318689,Thermo Fisher Scientific LLC,Fisher Brand,FBG505GA,FBG505GA,",FBG505GC,; ,FBG505GD,; ,FBG505GV,; ,FBG505GW,",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,3,Automatic,R-744 (CO2),,5.5,3.9,1.5,2.36,,2.12,4.51,25.75,32,23.5,0,03/09/2018,04/20/2018,"United States, Canada",ES_1075790_FBG505GA_04122018155757_2088128
2318690,Thermo Fisher Scientific LLC,Fisher Brand,FBG505SA,FBG505SA,",FBG505SC,; ,FBG505SD,; ,FBG505SV,; ,FBG505SW,",High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",1,3,Automatic,R-744 (CO2),,5.5,3.8,2.1,2.17,,2,4.51,25.75,32,23.5,0,03/09/2018,04/20/2018,"United States, Canada",ES_1075790_FBG505SA_04122018160753_9585840
2318691,Thermo Fisher Scientific LLC,Thermo Scientific,TSG505GA,TSG505GA,",TSG505GC,; ,TSG505GD,; ,TSG505GV,; ,TSG505GW,",High Performance Refrigerator,Upright,1,0,1,"Swinging,Right",1,3,Automatic,R-744 (CO2),,5.5,3.9,1.5,2.36,,2.12,4.51,25.75,32,23.5,0,03/09/2018,04/20/2018,"United States, Canada",ES_1075790_TSG505GA_04112018061701_2296563
2318693,Thermo Fisher Scientific LLC,Thermo Scientific,TSG505SA,TSG505SA,",TSG505SC,; ,TSG505SD,; ,TSG505SV,; ,TSG505SW,",High Performance Refrigerator,Upright,0,1,1,"Swinging,Right",1,3,Automatic,R-744 (CO2),,5.5,3.8,2.1,2.17,,2,4.51,25.75,32,23.5,0,03/09/2018,04/20/2018,"United States, Canada",ES_1075790_TSG505SA_04102018103436_9310571
2318824,PHC Corporation of North America,PHCbi,MDF-DU702VH-PA,MDF-DU702VH-PA,,Ultra-Low Temperature Freezer,Upright,0,3,3,Swinging,1,3,Manual,R-290,R-170,25.74,-75,26.74,,0.31,,,33.75,77.25,40.62,None,09/01/2017,08/31/2017,"United States, Canada",ES_1139382_MDF-DU702VH-PA_04242018193816_8696066
2318825,PHC Corporation of North America,Panasonic,MDF-DU502VH-PA,MDF-DU502VH-PA,,Ultra-Low Temperature Freezer,Upright,0,3,3,Swinging,1,3,Manual,R-290,R-170,18.75,,16.9,,0.35,,,35,78.56,31.25,None,03/01/2018,04/24/2018,"United States, Canada",ES_1139382_MDF-DU502VH-PA_04242018200035_0035787
2318826,PHC Corporation of North America,PHCbi,MDF-DU502VH-PA,MDF-DU502VH-PA,,Ultra-Low Temperature Freezer,Upright,0,3,3,Swinging,1,3,Manual,R-290,R-170,18.75,,16.9,,0.35,,,35,78.56,31.25,None,03/01/2018,04/24/2018,"United States, Canada",ES_1139382_MDF-DU502VH-PA_04242018200057_0057534
2319106,Eppendorf North America,Eppendorf,CryoCube,F740HI,"CryoCube,F740HIW,3-Shelf, 5-Shelf, 120V, 208V",Ultra-Low Temperature Freezer,Upright,0,1,1,"Swinging,Right",2,2,Manual,R-290,R-170,26.1,,20.41,,0.47,,,34.25,77.63,40.56,N/A,05/14/2018,04/30/2018,"United States, Canada",ES_1139248_F740HI_04302018183151_3111711
2319148,"Labrepco, Inc.","LabRepCo, LLC",LABL-74-HG,LABL-74-HG,",LABL-72-HGSS,; ,LABL-72-SDSS,; ,LABL-74-HGC,; ,LABL-74-HGCSS,; ,LABL-74-SD,; ,LABLG-74-HG,; ,LABLG-74-SD,",High Performance Refrigerator,Upright,3,0,3,"Swinging,Left,Right",1,15,Variable,R-290,NA,72,3.89,5.3,5.15,,4.78,14.5,32,80.5,75.25,Lighting,04/03/2018,02/02/2018,"United States, Canada",ES_1058859_LABL-74-HG_04302018181928_1710321
2319149,Biomedical Solutions Inc.,Biomedical Solutions Inc,S74GBRLR,S74GBRLR,",S74GGDLR,; ,S74SBRLR,; ,S74SGDLR,",High Performance Refrigerator,Upright,3,0,3,"Swinging,Left,Right",1,15,Variable,R-290,NA,72,3.89,5.3,5.15,,4.78,14.5,32,80.5,75.25,Lighting,04/03/2018,02/02/2018,"United States, Canada",ES_1022743_S74GBRLR_04302018181929_6324274
