ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Energy Factor (EF),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2318632,Thermador,DWHD660***,",DWHD660***,1st*- Year of Mfg, 2nd*-Door Type, 3rd*-Handle Type",Standard,269,307,12,,3.5,5,30,Yes,Wi-Fi,,No,06/11/2018,04/18/2018,"United States, Canada",ES_31649_DWHD660***_04112018162527_1378595,No
2318631,Thermador,DWHD770***,",DWHD770***,1st*- Year of Mfg, 2nd*-Door Type, 3rd*-Handle Type",Standard,269,307,12,,3.5,5,30,Yes,Wi-Fi,,,06/11/2018,04/18/2018,"United States, Canada",ES_31649_DWHD770***_04162018155627_6930658,No
2318634,Thermador,DWHD771***,",DWHD771***,1st*- Year of Mfg, 2nd*-Door Type, 3rd*-Handle Type",Standard,269,307,12,,3.5,5,30,Yes,Wi-Fi,,No,06/11/2018,04/18/2018,"United States, Canada",ES_31649_DWHD771***_04112018162527_8891397,No
2296716,Thermador,DWHD860R**,",DWHD860R**,** - 2 letters indicating variants of base model.",Standard,269,307,12,,2.9,5,42,No,,,,05/01/2017,05/30/2017,"United States, Canada",ES_31649_DWHD860R**_05302017081215_8223382,No
2318630,Thermador,DWHD870***,",DWHD870***,1st*- Year of Mfg, 2nd*-Door Type, 3rd*-Handle Type",Standard,269,307,12,,3.5,5,30,Yes,Wi-Fi,,,06/11/2018,04/18/2018,"United States, Canada",ES_31649_DWHD870***_04162018155627_9451867,No
2320377,VIKING,FDWU324,,Standard,225,307,27,,2.36,5,53,No,,,,08/01/2018,05/23/2018,"United States, Canada",ES_31770_FDWU324_05232018170658_5218667,Yes
2320380,VIKING,FDWU524,,Standard,225,307,27,,2.37,5,53,No,,,,08/01/2018,05/23/2018,"United States, Canada",ES_31770_FDWU524_05232018171640_5800544,Yes
2320382,VIKING,FDWU524WS,,Standard,256,307,17,,3.02,5,40,No,,,,08/01/2018,05/23/2018,"United States, Canada",ES_31770_FDWU524WS_05232018172413_6253223,No
2320378,VIKING,VDWU324SS,,Standard,225,307,27,,2.36,5,53,No,,,,08/01/2018,05/23/2018,"United States, Canada",ES_31770_VDWU324SS_05232018170712_5232589,Yes
2320381,VIKING,VDWU524SS,,Standard,225,307,27,,2.37,5,53,No,,,,08/01/2018,05/23/2018,"United States, Canada",ES_31770_VDWU524SS_05232018171707_5827927,Yes
2320383,VIKING,VDWU524WSSS,,Standard,256,307,17,,3.02,5,40,No,,,,08/01/2018,05/23/2018,"United States, Canada",ES_31770_VDWU524WSSS_05232018172433_6273051,No
2262287,VIKING RANGE LLC,CFDW103,,Standard,255,307,17,,3.13,5,37,No,,,,03/01/2016,11/23/2015,Canada,ES_1036108_CFDW103_03012016092907_1023355,No
2263410,VIKING RANGE LLC,CFDW302,,Standard,225,307,27,,2.4,5,52,No,,,,03/01/2016,11/19/2015,Canada,ES_1036108_CFDW302_03292016154141_9806161,Yes
2262285,VIKING RANGE LLC,FDW103,,Standard,255,307,17,,3.13,5,37,No,,,,03/01/2016,11/23/2015,"United States, Canada",ES_1036108_FDW103_03012016092907_2636377,No
2262227,VIKING RANGE LLC,FDW103WS,,Standard,270,307,12,,3.09,5,38,No,,,,03/04/2016,03/11/2016,"United States, Canada",ES_1036108_FDW103WS_03022016114954_2565882,No
2263408,VIKING RANGE LLC,FDW302,,Standard,225,307,27,,2.4,5,52,No,,,,03/01/2016,11/19/2015,"United States, Canada",ES_1036108_FDW302_03292016154141_1553003,Yes
2263413,VIKING RANGE LLC,FDW302WS,,Standard,256,307,17,,2.4,5,52,No,,,,03/01/2016,11/30/2015,"United States, Canada",ES_1036108_FDW302WS_03012016140650_8506280,No
2262286,VIKING RANGE LLC,RVDW103SS,,Standard,255,307,17,,3.13,5,37,No,,,,03/01/2016,11/23/2015,"United States, Canada",ES_1036108_RVDW103SS_03012016092907_8705713,No
2262229,VIKING RANGE LLC,RVDW103WSSS,,Standard,270,307,12,,3.09,5,38,No,,,,03/04/2016,03/11/2016,"United States, Canada",ES_1036108_RVDW103WSSS_03022016114954_195108,No
2263409,VIKING RANGE LLC,VDW302SS,,Standard,225,307,27,,2.4,5,52,No,,,,03/01/2016,11/19/2015,"United States, Canada",ES_1036108_VDW302SS_03292016154141_7948572,Yes
2263414,VIKING RANGE LLC,VDW302WSSS,,Standard,256,307,17,,2.4,5,52,No,,,,03/01/2016,11/30/2015,"United States, Canada",ES_1036108_VDW302WSSS_03012016140650_5361902,No
2256628,Whirlpool,UDT518SAFP,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_UDT518SAFP_01132016181826_9106143,No
2306621,Whirlpool,UDT518SAHP,,Standard,234,307,24,,3.1,5,38,No,,,,11/17/2017,11/20/2017,"United States, Canada",ES_22856_UDT518SAHP_11202017194128_6888929,No
2256632,Whirlpool,UDT555SAFP,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_UDT555SAFP_01132016182844_9724147,No
2306619,Whirlpool,UDT555SAHP,,Standard,234,307,24,,3.5,5,30,No,,,,11/17/2017,11/20/2017,"United States, Canada",ES_22856_UDT555SAHP_11202017181805_1885236,No
2256289,Whirlpool,WDF320PAD**,,Standard,260,307,15,,3.3,5,34,No,,,,08/04/2014,01/08/2016,"United States, Canada",ES_22856_WDF320PAD**_01082016203806_5486441,No
2287537,Whirlpool,WDF330PAH**,,Standard,270,307,12,,3.5,5,30,No,,,,02/01/2017,01/03/2017,"United States, Canada",ES_22856_WDF330PAH**_01032017190127_0087415,No
2287538,Whirlpool,WDF331PAH**,,Standard,270,307,12,,3.5,5,30,No,,,,02/01/2017,01/03/2017,"United States, Canada",ES_22856_WDF331PAH**_01032017190359_0239890,No
2256629,Whirlpool,WDF518SAFB,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_WDF518SAFB_01132016181758_9078448,No
2256630,Whirlpool,WDF518SAFM,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_WDF518SAFM_01132016181946_9186687,No
2256631,Whirlpool,WDF518SAFW,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_WDF518SAFW_01132016181905_9145765,No
2306711,Whirlpool,WDF518SAHB,",WDF518SAHM,UPC - 883049466453; ,WDF518SAHW,UPC - 883049466460",Standard,234,307,24,,3.1,5,38,No,,,,11/17/2017,11/20/2017,"United States, Canada",ES_22856_WDF518SAHB_11222017164559_9159172,No
2256290,Whirlpool,WDF520PAD**,,Standard,260,307,15,,3.3,5,34,No,,,,08/04/2014,01/08/2016,"United States, Canada",ES_22856_WDF520PAD**_01082016204123_5683249,No
2256291,Whirlpool,WDF540PAD**,,Standard,260,307,15,,3.3,5,34,No,,,,08/04/2014,01/08/2016,"United States, Canada",ES_22856_WDF540PAD**_01082016204213_5733806,No
2278431,Whirlpool,WDF545PAF**,,Standard,270,307,12,,3.5,5,30,No,,,,09/12/2016,09/06/2016,"United States, Canada",ES_22856_WDF545PAF**_09062016175320_4400856,No
2256633,Whirlpool,WDF550SAFB,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_WDF550SAFB_01132016182959_9799768,No
2256634,Whirlpool,WDF550SAFS,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_WDF550SAFS_01132016183147_9907504,No
2256635,Whirlpool,WDF550SAFW,,Standard,270,307,12,,3.5,5,30,No,,,,01/06/2016,01/13/2016,"United States, Canada",ES_22856_WDF550SAFW_01132016183058_9858140,No
2306710,Whirlpool,WDF550SAHB,",WDF550SAHS,UPC - 883049466491; ,WDF550SAHW,UPC - 883049467207",Standard,234,307,24,,3.5,5,30,No,,,,11/17/2017,11/20/2017,"United States, Canada",ES_22856_WDF550SAHB_11222017162157_7717956,No
2257372,Whirlpool,WDF560SAF**,,Standard,270,307,12,,3.5,5,30,No,,,,02/09/2016,01/27/2016,"United States, Canada",ES_22856_WDF560SAF**_01272016215329_1609515,No
2256292,Whirlpool,WDF760SAD**,,Standard,270,307,12,,2.95,5,41,No,,,,08/04/2014,01/08/2016,"United States, Canada",ES_22856_WDF760SAD**_01082016204435_5875535,No
2262375,Whirlpool,WDF770SAF**,,Standard,270,307,12,,3.5,5,30,No,,,,05/23/2016,03/15/2016,"United States, Canada",ES_22856_WDF770SAF**_03152016161728_8648136,No
2256281,Whirlpool,WDF780SLY**,,Standard,245,307,20,,2.85,5,43,No,,,,07/08/2011,01/08/2016,"United States, Canada",ES_22856_WDF780SLY**_01082016192131_0891566,No
2260939,Whirlpool,WDL785SAA**,,Standard,260,307,15,,2.85,5,43,No,,,,03/25/2013,02/26/2016,"United States, Canada",ES_22856_WDL785SAA**_02262016230605_7965997,No
2291593,Whirlpool,WDT710PAH**,,Standard,270,307,12,,3.5,5,30,No,,,,03/27/2017,02/27/2017,"United States, Canada",ES_22856_WDT710PAH**_02272017205405_8845109,No
2256280,Whirlpool,WDT710PAY**,,Standard,258,307,16,,3.47,5,31,No,,,,07/20/2011,01/08/2016,"United States, Canada",ES_22856_WDT710PAY**_01082016190945_0185854,No
2256293,Whirlpool,WDT720PAD**,,Standard,260,307,15,,3.3,5,34,No,,,,08/04/2014,01/08/2016,"United States, Canada",ES_22856_WDT720PAD**_01082016204312_5792269,No
2298273,Whirlpool,WDT730PAH**,,Standard,243,307,21,,3.5,5,30,No,,,,07/03/2017,06/23/2017,"United States, Canada",ES_22856_WDT730PAH**_06232017185354_4034862,No
2289184,Whirlpool,WDT750SAH**,,Standard,270,307,12,,3.5,5,30,No,,,,02/01/2017,01/23/2017,"United States, Canada",ES_22856_WDT750SAH**_01232017214954_8194009,No
2295928,Whirlpool,WDT755SAH**,,Standard,270,307,12,,3.5,5,30,No,,,,05/29/2017,05/12/2017,"United States, Canada",ES_22856_WDT755SAH**_05122017165749_8269902,No
2256298,Whirlpool,WDT780SAE**,,Standard,270,307,12,,2.95,5,41,No,,,,05/01/2015,01/08/2016,"United States, Canada",ES_22856_WDT780SAE**_01082016205310_6390096,No
2256282,Whirlpool,WDT790SLY**,,Standard,245,307,20,,2.85,5,43,No,,,,07/08/2011,01/08/2016,"United States, Canada",ES_22856_WDT790SLY**_01082016192210_0930909,No
2256299,Whirlpool,WDT920SAD**,,Standard,270,307,12,,2.95,5,41,No,,,,08/04/2014,01/08/2016,"United States, Canada",ES_22856_WDT920SAD**_01082016205425_6465193,No
2289185,Whirlpool,WDT970SAH**,,Standard,270,307,12,,3.5,5,30,No,,,,02/01/2017,01/23/2017,"United States, Canada",ES_22856_WDT970SAH**_01232017215032_8232527,No
2295929,Whirlpool,WDT975SAH**,,Standard,270,307,12,,3.5,5,30,No,,,,05/29/2017,05/12/2017,"United States, Canada",ES_22856_WDT975SAH**_05122017165613_8173776,No
2270226,Whirlpool,WDT995SAF**,,Standard,270,307,12,,3.5,5,30,No,,,,07/11/2016,06/21/2016,"United States, Canada",ES_22856_WDT995SAF**_06212016181148_2708739,No
2289186,Whirlpool,WDTA50SAH**,,Standard,270,307,12,,3.5,5,30,No,,,,02/01/2017,01/23/2017,"United States, Canada",ES_22856_WDTA50SAH**_01232017214459_7899311,No
2295930,Whirlpool,WDTA55SAH**,,Standard,270,307,12,,3.5,5,30,No,,,,05/29/2017,05/12/2017,"United States, Canada",ES_22856_WDTA55SAH**_05122017165951_8391742,No
2295931,Whirlpool,WDTA75SAH**,,Standard,270,307,12,,3.5,5,30,No,,,,05/29/2017,05/12/2017,"United States, Canada",ES_22856_WDTA75SAH**_05122017165704_8224230,No
2320410,Whynter,CDW-6831WES,,Compact,203,,,,3.1,,,No,,,,05/17/2018,04/24/2018,"United States, Canada",ES_1122240_CDW-6831WES_05242018125148_70178797,No
2278638,Midea,MB6501#,,Standard,249,307,19,,3.5,5,30,No,,,,09/11/2016,09/08/2016,"United States, Canada",ES_1030337_MB6501#_09092016152120_4480692,No
2278637,Midea,MB6502,,Standard,249,307,19,,3.5,5,30,No,,,,09/11/2016,09/08/2016,"United States, Canada",ES_1030337_MB6502_09092016152149_4509836,No
2276394,Midea,MB9373HS,,Standard,270,307,12,,3.5,5,30,No,,,,07/30/2016,07/29/2016,"United States, Canada",ES_1030337_MB9373HS_08242016034245_70088751,No
2276393,Midea,MB9373HW,,Standard,270,307,12,,3.5,5,30,No,,,,07/30/2016,07/29/2016,"United States, Canada",ES_1030337_MB9373HW_08242016034245_70088751,No
