ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Cooling Capacity (Btu/hr),Type,Reverse Cycle,Casement Window,Product Class,Variable Speed Compressor,Energy Efficiency Ratio (EER),Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier
2297027,Rowa,RWAC-18CRA2//K8U(ES),,18000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1144,No,,,,06/02/2017,06/02/2017,United States,ES_1126578_RWAC-18CRA2//K8U(ES)_06052017082537_1137623
2260687,Sea Breeze,STW410AYRE,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,02/15/2016,02/18/2016,"United States, Canada",ES_1108715_STW410AYRE_02242016085047_3847127
2276508,Sea Breeze,STW410AZEB,,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,,10.6,10,708,No,,,,08/20/2016,08/24/2016,"United States, Canada",ES_1108715_STW410AZEB_08252016214829_1709364
2260684,Sea Breeze,STW412AYRE,,12000,Through the Wall,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,,10.5,11,857,No,,,,02/15/2016,02/18/2016,"United States, Canada",ES_1108715_STW412AYRE_02242016085111_3871129
2256679,Sea Breeze,WA412YREC,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,10/19/2015,11/02/2015,United States,ES_1108715_WA412YREC_01082016161922_7164575
2256682,Sea Breeze,WA415YREC,,15100,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,960,No,,,,01/12/2016,12/22/2015,United States,ES_1108715_WA415YREC_01122016155341_4685327
2287356,Sea Breeze,WA415YRED,,15000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,953,No,,,,12/27/2016,12/27/2016,"United States, Canada",ES_1108715_WA415YRED_12292016090227_2147006
2256740,Sea Breeze,WA418ZREC,,18000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1144,No,,,,01/12/2016,01/14/2016,United States,ES_1108715_WA418ZREC_01122016155137_7358972
2256741,Sea Breeze,WA425ZREC,,25000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1820,No,,,,01/12/2016,12/22/2015,United States,ES_1108715_WA425ZREC_01122016154858_8762781
2256669,Sea Breeze,WA46YREC,,6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,372,No,,,,01/08/2016,11/02/2015,United States,ES_1108715_WA46YREC_01082016155522_5899927
