ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier
2292830,Dacor,DRZ24980***,,Upright Freezer,Automatic,No,Yes,Yes,Yes,13.6,23.9,500,581,15,Yes,01/15/2018,12/19/2017,"United States, Canada",ES_1016518_DRZ24980***_03222017113716_70128313
2290228,Dacor,DRZ30980***,,Upright Freezer,Automatic,No,Yes,Yes,Yes,17.6,31,550,651,17,Yes,01/15/2018,12/19/2017,"United States, Canada",ES_1016518_DRZ30980***_02082017105714_70119350
2308783,Dacor,DRZ30990***,,Upright Freezer,Automatic,No,Yes,Yes,Yes,17.5,30.8,550,649,17,Yes,02/12/2018,12/19/2017,"United States, Canada",ES_1016518_DRZ30990***_01082018112404_70167602
2293045,Dacor,DRZ36980***,,Upright Freezer,Automatic,No,Yes,Yes,Yes,21.4,37.7,580,717,20,Yes,01/15/2018,12/19/2017,"United States, Canada",ES_1016518_DRZ36980***_03242017112645_70128468
2306341,Danby,DUF140E1*,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,394,438,10,No,10/15/2017,11/09/2017,"United States, Canada",ES_31682_DUF140E1*_11132017123230_6350872
2218449,Danby Designer,DCF051A1*,,Chest Freezer,Manual,Yes,No,No,No,5.1,9,196,220,11,No,09/06/2014,07/25/2014,"United States, Canada",ES_0031682_DCF051A1*_07222014114047_2736942
2218451,Danby Designer,DCF081A1*,,Chest Freezer,Manual,No,No,No,No,8.1,14.3,189,212,11,No,09/06/2014,07/25/2014,"United States, Canada",ES_0031682_DCF081A1*_07222014114047_2736942
2218452,Danby Designer,DCF096A1*,,Chest Freezer,Manual,No,No,No,No,9.6,16.9,206,231,11,No,09/06/2014,07/25/2014,"United States, Canada",ES_0031682_DCF096A1*_07222014114047_2736942
2250121,Danby Designer,DUF138E1WDD,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,391,438,11,No,10/13/2015,09/21/2015,"United States, Canada",ES_0031682_DUF138E1WDD_09302015120456_70047172
2306340,Danby Designer,DUF140E1*,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,394,438,10,No,10/15/2017,11/09/2017,"United States, Canada",ES_31682_DUF140E1*_11132017123132_6292427
