ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Equipment Type,Ice Type,Harvest Rate (lbs ice/day),Energy Use (kWh/100 lbs ice),Refrigerant Type,Potable Water Use (gal/100 lbs ice),Ice Hardness Factor,Connected Functionality,Connects Using,Comminucation Standard Application Layer ,Direct on-premises Open-standard Based Interconnection,Capabilities Summary,Condenser Unit Model Number (if applicable),Date Available on Market,Date Certified,Markets,CB Model Identifier
2309973,Follett Corporation,Follett,HCF2110R,HCF2110R,",HCF2110RBS,; ,HCF2110RBT,; ,HCF2110RHS,; ,HCF2110RHT,; ,HCF2110RJS,; ,HCF2110RMS,; ,HCF2110RPS, HCF2110RVS,; ,HMF2110RBS, HMF2110RBT,; ,HMF2110RHS,; ,HMF2110RHT,; ,HMF2110RJS,; ,HMF2110RVS,",Remote Condensing Unit,Continuous,1632,3.21,R-404A,12,89.06,No,,,,,MHHZ0353C,01/30/2018,02/05/2018,"United States, Canada",ES_1045828_HCF2110R_01302018162937_5200769
2309975,Follett Corporation,Follett,HCF1810R,HCF1810R,",HCF1810RBS,; ,HCF1810RBT,; ,HCF1810RHS,; ,HCF1810RHT,; ,HCF1810RJS,; ,HCF1810RMS,; ,HCF1810RPS, HCF1810RVS,; ,HMF1810RBS, HMF1810RBT,; ,HMF1810RHS,; ,HMF1810RHT,; ,HMF1810RJS,; ,HMF1810RVS,",Remote Condensing Unit,Continuous,1445,3.63,R-404A,12,89.5,No,,,,,MHHZ0303C,01/01/2018,02/05/2018,"United States, Canada",ES_1045828_HCF1810R_01302018124022_4800683
2309976,Follett Corporation,Follett,15CI100A,15CI100A,",15CI100A-NW,; ,15FS100A-NW,",Self Contained Unit,Continuous,95,9.64,R-134a,12,0.72,No,,,,,NA,01/01/2017,01/20/2017,United States,ES_1045828_15CI100A_01192017134731_8655511
2309977,Follett Corporation,Follett,HCC700A,HCC700ABT,"HCC700A,HCC700ABS,; HCC700A,HCC700AHS,; HCC700A,HCC700AHT,; HCC700A,HCC700AJS,; HCC700A,HCC700AVS,; HCC700A,HMC700ABS,; HCC700A,HMC700ABT,; HCC700A,HMC700AHS,; HCC700A,HMC700AHT,; HCC700A,HMC700AJS,; HCC700A,HMC700AVS,",Ice Making Head,Continuous,474,5.61,R-404A,12,87,No,,,,,,11/01/2012,01/14/2013,United States,ES_1045828_HCC700ABT_01302018104521_2546808
2319034,Follett Corporation,Follett,HCD710A,HCD710ABT,"HCD710A,HCD710ABS,; HCD710A,HCD710AHS,; HCD710A,HCD710AHT,; HCD710A,HCD710AJS,; HCD710A,HCD710APS,; HCD710A,HCD710AVS,; HMD710A,HMD710ABS,; HMD710A,HMD710ABT,; HMD710A,HMD710AHS,; HMD710A,HMD710AHT,; HMD710A,HMD710AJS,; HMD710A,HMD710AVS,",Ice Making Head,Continuous,586,4.78,R-404A,12,89.7,No,,,No,,NA,04/01/2018,04/28/2018,"United States, Canada",ES_1045828_HCD710ABT_04272018160145_5174219
2312465,"Hoshizaki America, Inc.",Hoshizaki,KM-80BAJ,KM-80BAJ,,Self Contained Unit,Batch,60,7.95,,18.2,100,No,,,,,,07/07/2017,11/05/2018,"United States, Canada",ES_1003024_KM-80BAJ_03082018033216_6319709
2312466,"Hoshizaki America, Inc.",Hoshizaki,KM-115BAJ,KM-115BAJ,,Self Contained Unit,Batch,102,8.1,,20.6,100,No,,,,,,07/07/2017,11/05/2018,"United States, Canada",ES_1003024_KM-115BAJ_03082018033219_8435089
2312467,"Hoshizaki America, Inc.",Hoshizaki,F-801MAJ,F-801MAJ,,Ice Making Head,Continuous,566,5.38,,12,79.4,No,,,,,,06/20/2016,02/28/2019,"United States, Canada",ES_1003024_F-801MAJ_03082018034002_3323114
2312468,"Hoshizaki America, Inc.",Hoshizaki,F-801MAJ,F-801MAJ-C,,Ice Making Head,Continuous,532,5.59,,12,86.6,No,,,,,,06/20/2016,02/28/2019,"United States, Canada",ES_1003024_F-801MAJ-C_03082018034005_2690259
2312469,"Hoshizaki America, Inc.",Hoshizaki,FD-650MRH-C,FD-650MRH-C,,Remote Condensing Unit,Continuous,476,5.25,,12,88,No,,,,,URC-5F,03/01/2014,02/28/2019,"United States, Canada",ES_1003024_FD-650MRH-C_03082018034119_6877963
2312470,"Hoshizaki America, Inc.",Hoshizaki,KMH-2000SRH3,KMH-2000SRH3,,Remote Condensing Unit,Batch,1675,3.7,,16.8,100,No,,,,,URC-22F,08/20/2010,02/28/2019,"United States, Canada",ES_1003024_KMH-2000SRH3_03082018034224_8438873
2312471,"Hoshizaki America, Inc.",Hoshizaki,KMH-2000SRH,KMH-2000SRH,,Remote Condensing Unit,Batch,1694,3.8,,18.1,100,No,,,,,URC-22F,08/20/2010,02/28/2019,"United States, Canada",ES_1003024_KMH-2000SRH_03082018034226_2440845
2312472,"Hoshizaki America, Inc.",Hoshizaki,KM-2600SRJ3,KM-2600SRJ3,,Remote Condensing Unit,Batch,2580,3.61,,16,100,No,,,,,URC-26J,03/13/2017,02/28/2019,"United States, Canada",ES_1003024_KM-2600SRJ3_03082018034228_0379531
2312473,"Hoshizaki America, Inc.",Hoshizaki,KM-2200SRJ3,KM-2200SRJ3,,Remote Condensing Unit,Batch,2075,3.75,,15,100,No,,,,,URC-22F,04/06/2017,02/28/2019,"United States, Canada",ES_1003024_KM-2200SRJ3_03082018034230_3825094
2312474,"Hoshizaki America, Inc.",Hoshizaki,KM-1900SAJ3,KM-1900SAJ3,,Ice Making Head,Batch,1675,3.9,,19,100,No,,,,,,10/11/2017,02/28/2019,"United States, Canada",ES_1003024_KM-1900SAJ3_03082018034232_6398605
