ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Display Type,Panel Technology,Backlight Technology,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2019 Criteria
2305612,BenQ Corporation,BenQ,RP654K,RP654K,"RP654KA,RP654KA,; RP654KB,RP654KB,; RP654KC,RP654KC,; RP654KD,RP654KD,; RP654KE,RP654KE,",Signage Display,IPS LCD,LED,3840 x 2160,8.3,66,1882.79,"Occupancy Sensor,Other,Touch Screen,Built-In Speakers","Occupancy Sensor,Touch Screen,Built-In Speakers","Occupancy Sensor,Touch Screen","HDMI 2.0,Component,VGA,Other,USB 3.0",Ac power supply,,,,,,,,,,350,None,1200,,,06/26/2017,01/16/2018,United States,ES_1048959_RP654K_10252017162714_2054766,No
2302731,BenQ Corporation,BenQ,"RP704K,RP704KA,RP704KB,RP704KC,RP704KD,RP704KE",RP704K,"RP704K,RP704KA,RP704KB,RP704KC,RP704KD,RP704KE,RP704KA,; RP704K,RP704KA,RP704KB,RP704KC,RP704KD,RP704KE,RP704KB,; RP704K,RP704KA,RP704KB,RP704KC,RP704KD,RP704KE,RP704KC,; RP704K,RP704KA,RP704KB,RP704KC,RP704KD,RP704KE,RP704KD,; RP704K,RP704KA,RP704KB,RP704KC,RP704KD,RP704KE,RP704KE,",Signage Display,IPS LCD,LED,3840 x 2160,8.3,69.5,2066.5,"Occupancy Sensor,Other,Built-In Speakers",None,None,"Component,Other,HDMI 2.a,USB 3.0",Ac power supply,,,,,,,,,,350,None,1200,,,06/26/2017,08/22/2017,United States,ES_1048959_RP704K_08282017081610_3465617,No
2320432,BenQ Corporation,BenQ,SL6501,SL6501,",SL65011,; ,SL65012,; ,SL65013,; ,SL65014,; ,SL65015,; ,SL65016,; ,SL65017,; ,SL65018,; ,SL65019,",Signage Display,TFT LCD,LED,,2.1,64.5,1779.09,"Full Network Connectivity,Built-In Speakers","Full Network Connectivity,Built-In Speakers",Full Network Connectivity,"HDMI 1.4,DisplayPort 1.2,DVI,USB 2.0,Other",Ac power supply,86.48,145.5,0.59,3.5,0,,,,,450,None,1300,,,08/15/2018,05/24/2018,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_SL6501_05182018142715_4621393,No
2334073,BenQ Corporation,BenQ,LCD Monitor,ST4301*K,,Signage Display,TFT-LCD,LED,3840 x 2160,8.3,42.4,767.75,"Other,Built-In Speakers",Built-In Speakers,None,HDMI 2.0,Ac power supply,60.26,76.6,0.35,1,0,,,,,350,None,100,,,02/26/2019,02/27/2019,"United States, Canada",ES_1048959_ST4301*K_02282019131808_5682303,No
2332690,BenQ Corporation,BenQ,LCD Monitor,ST5501*K,,Signage Display,TFT-LCD,LED,3840 x 2160,8.3,54.4,1258.75,"Other,Built-In Speakers",Built-In Speakers,None,HDMI 2.0,Ac power supply,106.36,108.4,0.35,2,0,,,,,350,None,100,,,01/29/2019,01/31/2019,"United States, Canada",ES_1048959_ST5501*K_01312019133410_5845088,No
2299768,BenQ Corporation,BenQ,SW271,SW271-B,,Monitor,IPS LCD,LED,3840 x 2160,8.3,27,310.47,None,None,None,"HDMI 1.4,DisplayPort 1.2,Other",Ac power supply,42.18,,0.33,,0.28,,,131.2,135.1,350,EPD II (38.4 CIE LUV/99% Adobe RGB area or greater),1000,60,60,07/15/2017,07/13/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048959_SW271-B_07132017082346_6709637,No
2292684,BenQ Corporation,BenQ,SW320,SW320-B,,Monitor,IPS LCD,LED,3840  x 2160,8.3,31.5,424.68,Other,None,None,"HDMI 1.4,DisplayPort 1.2,SVGA",Ac power supply,43.55,,0.44,,0.36,,,,172.8,250,EPD II (38.4 CIE LUV/99% Adobe RGB area or greater),500,60,60,10/15/2016,10/13/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_1048960__10172016152439I40_7349927,No
2289253,Bloomberg LP,BLOOMBERG,BFP200-23,BFP200-23,,Monitor,IPS LCD,LED,1920 x 1080,2.1,23,226,None,None,None,"DVI,VGA",Ac power supply,12.25,,0.27,,0.25,,,48.94,50.8,250,None,700,,,02/15/2017,01/24/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1087451_BFP200-23_01242017145055_6467553,Yes
2289257,Bloomberg LP,BLOOMBERG,BFP200-27,BFP200-27,,Monitor,IPS LCD,LED,2560 x 1440,3.7,27,312,None,None,None,"DisplayPort 1.2,DVI",Ac power supply,22.92,,0.31,,0.23,,,78.52,81.4,250,EPD I (32.9% CIE LUV/99% sRGB area or greater),910,,,02/15/2017,01/24/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_1087451_BFP200-27_01062017160910_13238,No
2267102,Compumax Computer Ltd.,COMPUMAX,COMPUMAX LED20,ML2020CM,,Monitor,TN LCD,LED,900 x 1600,1.4,19.5,162.48,None,None,None,VGA,Ac power supply,12.02,,0.3,,0.21,,,38.6,42.4,180,None,5000000,,,04/18/2016,05/16/2016,United States,ES_1080735_ML2020CM_05162016163012_3982489,No
