ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2327572,A.O. Smith Corporation,American,SUF 100 150PEA 301,HCG3-100T250-3N 300,,Gas Storage,Gas,Power Direct Vent,100,62.9,11,24,3,4,240,250,0.96,816,,,,05/09/2014,11/28/2018,United States,ES_92897_HCG3-100T250-3N 300_10122018170421_7584300
2327573,A.O. Smith Corporation,A. O. Smith,AHCG3-100T199-3N 300,BTH 500A 300,,Gas Storage-type Instantaneous,Gas,Power Direct Vent,119,62.9,11,24,3,4,479.904,499.9,0.96,1200,,,,05/09/2014,10/12/2018,United States,ES_92897_BTH 500A 300_10122018170453_3128434
2327574,A.O. Smith Corporation,A. O. Smith,BTH 250 200,BTH 500A 301,,Gas Storage-type Instantaneous,Propane,Power Direct Vent,119,62.9,11,24,3,4,474.905,499.9,0.95,1200,,,,05/09/2014,10/12/2018,"United States, Canada",ES_92897_BTH 500A 301_10122018170455_4317696
2327575,A.O. Smith Corporation,A. O. Smith,HCG3-100T150-3P 301,BTH 199A 300,,Gas Storage,Gas,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,11/26/2018,United States,ES_92897_BTH 199A 300_10122018170515_7952074
2327576,A.O. Smith Corporation,A. O. Smith,AHCG3-100T199-3N 300,BTH 500A 300,,Gas Storage-type Instantaneous,Gas,Power Direct Vent,119,62.9,11,24,3,4,479.904,499.9,0.96,1200,,,,05/09/2014,12/12/2018,United States,ES_92897_BTH 500A 300_10122018170547_4957686
2327577,A.O. Smith Corporation,A. O. Smith,BTH 250 200,BTH 500A 301,,Gas Storage-type Instantaneous,Propane,Power Direct Vent,119,62.9,11,24,3,4,474.905,499.9,0.95,1200,,,,05/09/2014,12/12/2018,"United States, Canada",ES_92897_BTH 500A 301_10122018170550_3954338
2327578,A.O. Smith Corporation,A. O. Smith,BTH 150A 301,BTH 120A 300,,Gas Storage,Gas,Power Direct Vent,60,62.9,11,24,3,4,114,120,0.95,800,,,,05/09/2014,12/11/2018,"United States, Canada",ES_92897_BTH 120A 300_10122018170614_3347548
2327579,A.O. Smith Corporation,American,Polaris,PR 50 130 N 200,,Gas Storage,Gas,Power Direct Vent,50,62.3,6.6,22,2,,123.5,130,0.95,750,,,,02/15/2017,12/10/2018,Canada,ES_92897_PR 50 130 N 200_10122018170655_6123182
2327580,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 130 200,,Gas Storage,Gas,Power Direct Vent,50,62.3,6.6,22,2,,123.5,130,0.95,750,,,,02/15/2017,12/10/2018,"United States, Canada",ES_92897_GTP 130 200_10122018170732_6521075
2327581,A.O. Smith Corporation,A. O. Smith,SUF 60 120NEA 300,BTH 400 300,,Gas Storage,Gas,Power Direct Vent,119,41.8,11,24,3,4,379.905,399.9,0.95,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 400 300_10122018170733_4154524
