ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2327646,A.O. Smith Corporation,A. O. Smith,Polaris,BTS 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_BTS 199 201_10122018171342_5167065
2327647,A.O. Smith Corporation,State,Polaris,SPC 50 199 PE 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_SPC 50 199 PE 201_10122018171345_1339818
2327648,A.O. Smith Corporation,American,Polaris,PC 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,Canada,ES_92897_PC 50 199 P 201_10122018171348_9115752
2327649,A.O. Smith Corporation,American,Polaris,PG10 50 150 2NV 200,,Gas Storage,Gas,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,United States,ES_92897_PG10 50 150 2NV 200_10122018171348_6476524
2327650,A.O. Smith Corporation,American,Polaris,PG10 50 199 3NV 200,,Gas Storage,Gas,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,United States,ES_92897_PG10 50 199 3NV 200_10122018171351_0839133
2327651,A.O. Smith Corporation,American,Polaris,PG10 50 150 2PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,United States,ES_92897_PG10 50 150 2PV 201_10122018171352_3140428
2327652,A.O. Smith Corporation,American,Polaris,PG10 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,United States,ES_92897_PG10 50 199 3PV 201_10122018171354_0218252
2327653,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 150 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,"United States, Canada",ES_92897_GTP 150 201_10122018171356_7121352
2327654,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,"United States, Canada",ES_92897_GTP 199 201_10122018171358_9007943
2327655,A.O. Smith Corporation,State,Polaris,GHX 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,United States,ES_92897_GHX 50 150 P 201_10122018171400_4690327
2327656,A.O. Smith Corporation,State,Polaris,GHX 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,United States,ES_92897_GHX 50 199 P 201_10122018171402_2116816
2327657,A.O. Smith Corporation,American,Polaris,PR 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,Canada,ES_92897_PR 50 150 P 201_10122018171404_8986896
2327658,A.O. Smith Corporation,American,Polaris,PR 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,Canada,ES_92897_PR 50 199 P 201_10122018171406_1637639
2327659,A.O. Smith Corporation,American,Polaris,PGC3 50 150 2PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,United States,ES_92897_PGC3 50 150 2PV 201_10122018171408_6555872
2327660,A.O. Smith Corporation,American,Polaris,PGC3 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,United States,ES_92897_PGC3 50 199 3PV 201_10122018171410_5062155
2327661,A.O. Smith Corporation,A. O. Smith,Polaris,BTS 150 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,"United States, Canada",ES_92897_BTS 150 201_10122018171411_2521664
2327662,A.O. Smith Corporation,A. O. Smith,Polaris,BTS 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,"United States, Canada",ES_92897_BTS 199 201_10122018171414_1693039
2327663,A.O. Smith Corporation,State,Polaris,SPC 50 150 PE 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,12/10/2018,United States,ES_92897_SPC 50 150 PE 201_10122018171416_8072752
2327664,A.O. Smith Corporation,State,Polaris,SPC 50 199 PE 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,12/10/2018,United States,ES_92897_SPC 50 199 PE 201_10122018171417_5183596
2330435,"PVI Industries, LLC",PVI,70 L 130 A-GCML,70 L 130 A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,8,672,700,0.96,1424,,,,11/06/2014,12/22/2014,"United States, Canada",ES_1129873_70 L 130 A-GCML_12222014223000_471765
2330446,"PVI Industries, LLC",PVI,40 L 130 A-GCL,40 L 130 A-GCL,",40 L 130 A-GCML,",Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,4,383.04,399,0.96,1424,,,,11/06/2014,11/06/2014,"United States, Canada",ES_1129873_40 L 130 A-GCL_12222014215237_7198449
2331121,"PVI Industries, LLC",PVI,65 L 130 A-GCML,65 L 130 A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,8,624,650,0.96,1424,,,,11/06/2014,02/18/2015,"United States, Canada",ES_1129873_65 L 130 A-GCML_02182015121256_6195184
2331122,"PVI Industries, LLC",PVI,80 L 130 A-GCML,80 L 130 A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,8,768,800,0.96,1424,,,,11/06/2014,12/26/2014,"United States, Canada",ES_1129873_80 L 130 A-GCML_12222014222248_5466555
2331124,"PVI Industries, LLC",PVI,75 L 130 A-GCML,75 L 130 A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,8,720,750,0.96,1424,,,,11/06/2014,12/26/2014,"United States, Canada",ES_1129873_75 L 130 A-GCML_12222014222821_5163995
2331125,"PVI Industries, LLC",PVI,60 L 130 A-GCML,60 L 130 A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,8,576,600,0.96,1424,,,,11/06/2014,12/26/2014,"United States, Canada",ES_1129873_60 L 130 A-GCML_12222014223120_2059900
2331127,"PVI Industries, LLC",PVI,50 L 130A-GCML,50 L 130A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,4,480,500,0.96,1424,,,,11/06/2014,12/26/2014,"United States, Canada",ES_1129873_50 L 130 A-GCML_12222014222540_8679468
2332886,"PVI Industries, LLC",PVI,100 L 130A-GCML,100 L 130A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,8,949.05,999,0.95,1185,,,,01/29/2019,02/01/2019,"United States, Canada",ES_1129873_100 L 130A-GCML_01292019163828_4687311
2333065,"Intellihot Green Technologies, Inc",Intellihot,iQ750,iQ750,"iQ751,iQ751,",Gas Tankless,"Propane,Gas",Direct Vent,4,,,,6,,671.16,714,0.94,,,,,08/16/2013,01/14/2019,"United States, Canada",ES_1084851_iQ750_02042019143949_6346855
2333068,"Intellihot Green Technologies, Inc",Intellihot,iQ250,iQ250,"iQ251,iQ251,",Gas Tankless,"Propane,Gas",Direct Vent,1,,,,3,,240,250,0.96,,,,,04/25/2013,01/14/2019,"United States, Canada",ES_1084851_iQ250_02052019114425_2218367
2333069,"Intellihot Green Technologies, Inc",Intellihot,iQ1000,iQ1000,"iQ1001,iQ1001,",Gas Tankless,"Propane,Gas",Direct Vent,4,,,,6,,894.88,952,0.94,,,,,08/16/2013,01/14/2019,"United States, Canada",ES_1084851_iQ1000_02052019114839_3944442
2333099,American Standard Water Heaters,American Standard,HE 70-125 AS,HE 70-125 AS,,Gas Storage,Gas,Direct Vent,70,58,9.3,22,2,,121.25,125,0.97,598,,,,07/23/2012,01/23/2019,United States,ES_1081272_HE 70-125 AS_02052019132431_2787911
2333104,American Standard Water Heaters,American Standard,HE 100-150 AS,HE 100-150 AS,,Gas Storage,Gas,Direct Vent,100,66,9.3,24,2,,145.5,150,0.97,767,,,,07/23/2012,01/23/2019,United States,ES_1081272_HE 100-150 AS_02052019135450_5112090
2333105,American Standard Water Heaters,American Standard,HE 100-199 AS,HE 100-199 AS,,Gas Storage,Gas,Direct Vent,100,66,9.3,24,2,,195.02,199,0.98,640,,,,07/23/2012,01/23/2019,United States,ES_1081272_HE 100-199 AS_02052019140448_6656463
2333106,American Standard Water Heaters,American Standard,HE 100-250 AS,HE 100-250 AS,,Gas Storage,Gas,Direct Vent,100,66,9.3,24,2,,240,250,0.96,683,,,,07/23/2012,01/23/2019,United States,ES_1081272_HE 100-250 AS_02052019140721_2325032
2333867,A.O. Smith Corporation,AO Smith,CHP Series,CAHP-120 100,,Electric Heat Pump,Electric,,119,,,,,,,,,,12,,,04/01/2019,02/21/2019,United States,ES_92897_CAHP-120 100_02222019165341_4421300
2333868,A.O. Smith Corporation,Lochinvar,CHP Series,CHPA120PD 100,,Electric Heat Pump,Electric,,119,,,,,,176.0592,,,,12,4.3,,04/01/2019,02/21/2019,United States,ES_92897_CHPA120PD 100_02222019165503_4503350
2333869,A.O. Smith Corporation,State,CHP Series,CSHP-120-DHPT 100,,Electric Heat Pump,Electric,,119,,,,,,,,,,12,,,04/01/2019,02/21/2019,United States,ES_92897_CSHP-120-DHPT 100_02222019165437_4477825
2334087,"PVI Industries, LLC",PVI,90 L 130A-GCML,90 L 130A-GCML,,Gas Storage,Gas,Direct Vent,130,66.7,9.7,27.5,6,8,855,900,0.95,969,,,,02/28/2019,02/28/2019,"United States, Canada",ES_1129873_90 L 130A-GCML_02282019154309_9266473
2334622,"Lochinvar, LLC",Lochinvar,OUTDOOR ARMOR,"OA(N,L)501",,Gas Tankless,"Propane,Gas",Direct Vent,3,,,,4,,480,500,0.96,,,,,10/24/2012,03/11/2019,United States,"ES_1028919_OA(N,L)501_03112019224220_5557163"
2334623,"Lochinvar, LLC",Lochinvar,OUTDOOR ARMOR,"OA(N,L)286",,Gas Tankless,"Propane,Gas",Direct Vent,2,,,,4,,273.6,285,0.96,,,,,10/24/2012,03/11/2019,United States,"ES_1028919_OA(N,L)286_03112019224343_3235786"
2334624,"Lochinvar, LLC",Lochinvar,OUTDOOR ARMOR,"OA(N,L)151",,Gas Tankless,"Propane,Gas",Direct Vent,1,,,,3,,144,150,0.96,,,,,10/24/2012,03/11/2019,United States,"ES_1028919_OA(N,L)151_03112019224447_4390091"
2334938,Bradford White Corporation,Bradford White,EF120T500*N*3,EF120T500*N*3,,Gas Storage-type Instantaneous,Gas,Power Vent,119,,,,4,6,469.906,499.9,0.94,1532,,,,02/11/2019,03/19/2019,"United States, Canada",ES_92896_EF120T500*N*3_03192019214604_8923044
2334939,Bradford White Corporation,Bradford White,EF120T400*N*3,EF120T400*N*3,,Gas Storage,Gas,Power Vent,119,71,7.3,32,4,6,375.906,399.9,0.94,1427,,,,02/11/2019,03/19/2019,"United States, Canada",ES_92896_EF120T400*N*3_03192019214703_3446467
2334940,Bradford White Corporation,Bradford White,EF120T400*N*3,EF120T400*X*3,,Gas Storage,Propane,Power Vent,119,71,7.3,32,4,6,375.906,399.9,0.94,1427,,,,02/11/2019,03/19/2019,"United States, Canada",ES_92896_EF120T400*X*3_03192019214741_1477809
2334941,Bradford White Corporation,Bradford White,EF120T500*N*3,EF120T500*X*3,,Gas Storage-type Instantaneous,Propane,Power Vent,119,,,,4,6,469.906,499.9,0.94,1532,,,,02/11/2019,03/19/2019,"United States, Canada",ES_92896_EF120T500*X*3_03192019214827_0502643
2334978,LAARS Heating Systems Company,UHE,LUHE120T500*N*3,LUHE120T500*N*3,,Gas Storage-type Instantaneous,Gas,Power Vent,119,,,,4,6,469.906,499.9,0.94,1532,,,,03/01/2019,03/20/2019,United States,ES_1108210_LUHE120T500*N*3_03202019213634_9986801
2334979,LAARS Heating Systems Company,UHE,LUHE120T400*N*3,LUHE120T400*N*3,,Gas Storage,Gas,Power Vent,119,71,7.3,32,4,6,375.906,399.9,0.94,1427,,,,03/01/2019,03/20/2019,United States,ES_1108210_LUHE120T400*N*3_03202019213840_3723089
2334980,LAARS Heating Systems Company,UHE,LUHE120T400*X*3,LUHE120T400*X*3,,Gas Storage,Propane,Power Vent,119,71,7.3,32,4,6,375.906,399.9,0.94,1427,,,,03/01/2019,03/20/2019,United States,ES_1108210_LUHE120T400*X*3_03202019213945_8225464
2334981,LAARS Heating Systems Company,UHE,LUHE120T500*X*3,LUHE120T500*X*3,,Gas Storage-type Instantaneous,Propane,Power Vent,119,,,,4,6,469.906,499.9,0.94,1532,,,,03/01/2019,03/20/2019,United States,ES_1108210_LUHE120T500*X*3_03202019214027_6999128
2327695,A.O. Smith Corporation,A. O. Smith,SUF 60 120NE 300,BTH 300 300,,Gas Storage,Gas,Power Direct Vent,119,41.8,11,24,3,4,288,300,0.96,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 300 300_10122018172829_8652744
2327696,A.O. Smith Corporation,A. O. Smith,SUF 60 120PEA 301,BTH 300 301,,Gas Storage,Propane,Power Direct Vent,119,41.8,11,24,3,4,288,300,0.96,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 300 301_10122018172832_6777344
2327697,A.O. Smith Corporation,A. O. Smith,BTH 199A 300,BTH 300A 301,,Gas Storage,Propane,Power Direct Vent,119,62.9,11,24,3,4,288,300,0.96,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 300A 301_10122018172835_3473484
2327698,A.O. Smith Corporation,American,HCG3-119T-300-3P 301,HCG3-119T300-3P 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,288,300,0.96,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_HCG3-119T300-3P 301_10122018172837_2677879
2327699,A.O. Smith Corporation,American,AHCG3-119T-300-3P 301,AHCG3-119T300-3P 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,288,300,0.96,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_AHCG3-119T300-3P 301_10122018172840_7422172
2327700,A.O. Smith Corporation,State,SUF 119 300 PE 301,SUF 119 300PE 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,288,300,0.96,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 119 300PE 301_10122018172843_5546772
2327701,A.O. Smith Corporation,State,SUF 119 300 PEA 301,SUF 119 300PEA 301,,Gas Storage,Propane,Power Direct Vent,119,63.5,12,30,4,6,288,300,0.96,1200,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 119 300PEA 301_10122018172846_5274555
2327702,A.O. Smith Corporation,State,SHE 50 100 NE *,SHE 50 100NE,,Gas Storage,Gas,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,12/12/2018,"United States, Canada",ES_92897_SHE 50 100NE_10122018172944_5991453
2327703,A.O. Smith Corporation,RELIANCE WATER HEATERS,HE 75 100 N E *,HE 75100N E*,,Gas Storage,Gas,Power Direct Vent,75,51.9,7.9,22.5,2,3,96,100,0.96,430,,,,12/15/2013,12/12/2018,"United States, Canada",ES_92897_HE 75100N E*_10122018173404_1111017
2327704,A.O. Smith Corporation,A. O. Smith,BTXL 100 *,BTXL 100*,,Gas Storage,Gas,Power Direct Vent,75,51.9,7.9,22.5,2,3,96,100,0.96,430,,,,12/15/2013,12/12/2018,"United States, Canada",ES_92897_BTXL 100*_10122018173524_8679389
2327705,A.O. Smith Corporation,RELIANCE WATER HEATERS,HE 75 100 P E *,HE 75100P E*,,Gas Storage,Propane,Power Direct Vent,75,51.9,7.9,22.5,2,3,96,100,0.96,430,,,,12/15/2013,12/12/2018,"United States, Canada",ES_92897_HE 75100P E*_10122018173526_5931937
2327706,A.O. Smith Corporation,A. O. Smith,BTXL 100 **,BTXL 100**,,Gas Storage,Propane,Power Direct Vent,75,51.9,7.9,22.5,2,3,96,100,0.96,430,,,,12/15/2013,12/12/2018,"United States, Canada",ES_92897_BTXL 100**_10122018173529_7436843
2327707,A.O. Smith Corporation,A. O. Smith,BTH 120 300,BTH 199 300,,Gas Storage,Gas,Power Direct Vent,100,41.8,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,"United States, Canada",ES_92897_BTH 199 300_10122018173701_0154358
2327708,A.O. Smith Corporation,A. O. Smith,BTH 150 301,BTH 199 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,"United States, Canada",ES_92897_BTH 199 301_10122018173703_8835364
2327709,A.O. Smith Corporation,A. O. Smith,AHCG3-100T150-3P 301,BTH 199A 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,United States,ES_92897_BTH 199A 301_10122018173706_3928322
2327710,A.O. Smith Corporation,RELIANCE WATER HEATERS,RUF 100 199 PE 301,RUF 100 199PE 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,United States,ES_92897_RUF 100 199PE 301_10122018173708_4594196
2327711,A.O. Smith Corporation,RELIANCE WATER HEATERS,RUF 100 199 PEA 301,RUF 100 199PEA 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,United States,ES_92897_RUF 100 199PEA 301_10122018173710_7527562
2327712,A.O. Smith Corporation,State,SUF 100 199 PE 301,SUF 100 199PE 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,United States,ES_92897_SUF 100 199PE 301_10122018173712_9588876
2327713,A.O. Smith Corporation,State,SUF 100 199 PEA 301,SUF 100 199PEA 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,United States,ES_92897_SUF 100 199PEA 301_10122018173715_1857935
2327714,A.O. Smith Corporation,A. O. Smith,BTH 120 300,BTH 120 300,,Gas Storage,Gas,Power Direct Vent,60,41.8,11,24,3,4,114,120,0.95,800,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_BTH 120 300_10122018173906_5036480
2327715,A.O. Smith Corporation,A. O. Smith,HCG3-100T150-3N 300,BTH 120 301,,Gas Storage,Propane,Power Direct Vent,60,62.9,11,24,3,4,114,120,0.95,800,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 120 301_10122018173908_4589539
2327716,A.O. Smith Corporation,A. O. Smith,AHCG3-100T150-3N 300,BTH 120A 301,,Gas Storage,Propane,Power Direct Vent,60,62.9,11,24,3,4,114,120,0.95,800,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 120A 301_10122018173911_7730648
2327717,A.O. Smith Corporation,American,HCG3-100T250-3P 301,HCG3-60T120-3P 301,,Gas Storage,Propane,Power Direct Vent,60,62.9,11,24,3,4,114,120,0.95,800,,,,05/09/2014,12/13/2018,United States,ES_92897_HCG3-60T120-3P 301_10122018173913_1395147
2327718,A.O. Smith Corporation,American,BTH 250A 301,AHCG3-60T120-3P 301,,Gas Storage,Propane,Power Direct Vent,60,62.9,11,24,3,4,114,120,0.95,800,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_AHCG3-60T120-3P 301_10122018173916_2028001
2327719,A.O. Smith Corporation,State,HCG3-100T250-3N 300,SUF 60 120PE 301,,Gas Storage,Propane,Power Direct Vent,60,62.9,11,24,3,4,114,120,0.95,800,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 60 120PE 301_10122018173918_1581061
2327720,A.O. Smith Corporation,State,BTH 400 200,SUF 60 120PEA 301,,Gas Storage,Propane,Power Direct Vent,60,63.5,12,30,4,6,114,120,0.95,800,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_SUF 60 120PEA 301_10122018173921_0262068
2327721,A.O. Smith Corporation,John Wood,AJWSH119300 N 300,AJWSH119300 N 200,,Gas Storage,Gas,Power Direct Vent,119,63.5,12,30,4,6,288,300,0.96,1200,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_AJWSH119300 N 200_10122018174052_6185165
2327722,A.O. Smith Corporation,A. O. Smith,BTH 300A 300,BTH 300A 200,,Gas Storage,Gas,Power Direct Vent,119,63.5,12,30,4,6,288,300,0.96,1200,,,,05/09/2014,12/12/2018,"United States, Canada",ES_92897_BTH 300A 200_10122018174159_4210334
2327723,A.O. Smith Corporation,American,HCG3-119T300-3N 300,HCG3-119T300-3N 200,,Gas Storage,Gas,Power Direct Vent,119,63.5,12,30,4,6,288,300,0.96,1200,,,,05/09/2014,12/12/2018,United States,ES_92897_HCG3-119T300-3N 200_10122018174257_6955849
2327724,A.O. Smith Corporation,A. O. Smith,BTH 199 300,BTH 199 200,,Gas Storage,Gas,Power Direct Vent,100,62.9,11,24,3,4,193.903,199.9,0.97,1000,,,,05/09/2014,12/12/2018,"United States, Canada",ES_92897_BTH 199 200_10122018174620_7660674
2327725,A.O. Smith Corporation,RELIANCE WATER HEATERS,HE 50 100 NE *,HE 50 100 NE,,Gas Storage,Gas,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,12/12/2018,"United States, Canada",ES_92897_HE 50 100 NE_10122018174720_9817545
2327726,A.O. Smith Corporation,State,SHE 75 100 N E *,SHE 75 100N E*,,Gas Storage,Gas,Power Direct Vent,75,51.9,7.9,22.5,2,3,96,100,0.96,430,,,,12/15/2013,12/12/2018,"United States, Canada",ES_92897_SHE 75 100N E*_10122018174837_2675428
2327727,A.O. Smith Corporation,A. O. Smith,BTX 100 *,BTX 100 *,,Gas Storage,Gas,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,10/12/2018,"United States, Canada",ES_92897_BTX 100 *_10122018175030_0041076
2327728,A.O. Smith Corporation,State,SHE 50 100 PE *,SHE 50 101PE,,Gas Storage,Propane,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,10/12/2018,"United States, Canada",ES_92897_SHE 50 101PE_10122018175032_5690440
2327729,A.O. Smith Corporation,RELIANCE WATER HEATERS,HE 50 100 PE *,HE 50 100 PE,,Gas Storage,Propane,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,10/12/2018,"United States, Canada",ES_92897_HE 50 100 PE_10122018175035_9387957
2327730,A.O. Smith Corporation,A. O. Smith,BTX 100 **,BTX 100 **,,Gas Storage,Propane,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,10/12/2018,"United States, Canada",ES_92897_BTX 100 **_10122018175037_2321324
2327731,A.O. Smith Corporation,A. O. Smith,BTX 100 *,BTX 100 *,,Gas Storage,Gas,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,12/12/2018,"United States, Canada",ES_92897_BTX 100 *_10122018175040_1918133
2327732,A.O. Smith Corporation,State,SHE 50 100 PE *,SHE 50 101PE,,Gas Storage,Propane,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,12/12/2018,"United States, Canada",ES_92897_SHE 50 101PE_10122018175042_5059242
2327733,A.O. Smith Corporation,RELIANCE WATER HEATERS,HE 50 100 PE *,HE 50 100 PE,,Gas Storage,Propane,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,12/12/2018,"United States, Canada",ES_92897_HE 50 100 PE_10122018175045_2660455
2327734,A.O. Smith Corporation,A. O. Smith,BTX 100 **,BTX 100 **,,Gas Storage,Propane,Power Vent,50,55.7,8,18,2,3,96,100,0.96,430,,,,11/01/2007,12/12/2018,"United States, Canada",ES_92897_BTX 100 **_10122018175047_8833206
2327735,Bradford White Corporation,Bradford White,EF100T199*X*,EF100T199*X,,Gas Storage,Propane,Power Direct Vent,100,69,5,26,3,4,197.901,199.9,0.99,1044,,,,04/01/2013,12/12/2018,"United States, Canada",ES_92896_EF100T199*X_10122018175652_7772920
2327736,Bradford White Corporation,Bradford White,EF100T199E*N*,EF100T199E*N,,Gas Storage,Gas,Power Direct Vent,100,69,5,26,3,4,197.901,199.9,0.99,1044,,,,04/01/2013,12/12/2018,"United States, Canada",ES_92896_EF100T199E*N_10122018175655_4502081
2327737,Bradford White Corporation,Bradford White,EF100T250*X*,EF100T250*X,,Gas Storage,Propane,Power Direct Vent,100,69,5,26,3,4,242.5,250,0.97,1044,,,,04/01/2013,12/12/2018,"United States, Canada",ES_92896_EF100T250*X_10122018175845_3394464
2327738,Bradford White Corporation,Bradford White,EF100T250E*N*,EF100T250E*N,,Gas Storage,Gas,Power Direct Vent,100,69,5,26,3,4,242.5,250,0.97,1044,,,,04/01/2013,12/12/2018,"United States, Canada",ES_92896_EF100T250E*N_10122018175847_7091981
2327739,Bradford White Corporation,Bradford White,EF100T150E*N*,EF100T150E*N,,Gas Storage,Gas,Power Direct Vent,100,69,5,26,3,4,148.5,150,0.99,1080,,,,04/01/2013,11/05/2018,"United States, Canada",ES_92896_EF100T150E*N_10122018180522_8336764
2327740,Bradford White Corporation,Bradford White,EF100T150*X*,EF100T150*X,,Gas Storage,Propane,Power Direct Vent,100,69,5,26,3,4,148.5,150,0.99,824,,,,04/01/2013,11/05/2018,"United States, Canada",ES_92896_EF100T150*X_10122018180524_2001262
2327741,A.O. Smith Corporation,A. O. Smith,XWH 2600,XWH 3400,,Gas Tankless,"Propane,Gas",Power Direct Vent,32,,68,,8,,3230,3400,0.95,,,,,09/01/2011,12/12/2018,"United States, Canada",ES_92897_XWH 3400_10122018180704_9823706
2327742,A.O. Smith Corporation,A. O. Smith,XWH 3400,XWH 2600,,Gas Tankless,"Propane,Gas",Power Direct Vent,23,,68,,10,,2470,2600,0.95,,,,,09/01/2011,12/12/2018,"United States, Canada",ES_92897_XWH 2600_10122018180758_4476858
2327743,A.O. Smith Corporation,A. O. Smith,XWH 2000,XWH 2000,,Gas Tankless,"Propane,Gas",Power Direct Vent,19,,68,,8,,1899.905,1999.9,0.95,,,,,09/01/2011,12/12/2018,"United States, Canada",ES_92897_XWH 2000_10122018181016_9840276
2327744,A.O. Smith Corporation,A. O. Smith,XWH 1700,XWH 1700,,Gas Tankless,"Propane,Gas",Power Direct Vent,14,,36,,8,,1615,1700,0.95,,,,,09/01/2011,12/12/2018,"United States, Canada",ES_92897_XWH 1700_10122018181117_5170493
