ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Configuration,Additional Handset Telephones Supported,Frequency,Standby Power (W),Off Mode Power (W),External Proxy Capability,Physical Data Ports,Low Power Wireless Technologies,Gigabit Ethernet Ports,Fast Ethernet Ports,Energy Efficient Ethernet - Gigabit,Energy Efficient Ethernet - Fast,Display Resolution (pixels),Power Over Ethernet Class,External Power Supply,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2230103,"VTech Telecommunications, Ltd.",VTECH,CS6729-2,CS6729-2,",CS6729,1 Handset + 1Base; ,CS6729-2,1 Handset + 1Base; ,CS6729-3,3 Handsets + 1 Base + 2 chargers; ,CS6729-4,4 Handsets + 1 Base + 3 chargers; ,CS672Z-XY,X Handsets + 1 Base + (X-1) chargers; ,CS6829,1 Handset + 1Base; ,CS6829-2,2 Handsets + 1 Base + 1 charger; ,CS6829-4, CS6829-3, CS6729-26, CS6729-5,4 Handsets + 1 Base + 3 chargers; ,CS682Z-XY,X Handsets + 1 Base + (X-1) chargers",Analog,Cordless,0,None,0.84,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/03/2013,03/21/2013,"United States, Canada",ES_1067513_CS6729-2_11242014141258_2160913
2260719,"VTech Telecommunications, Ltd.",VTECH,CS6729-2,CS6729-2,",CS6729,1 Handset + 1 Base; ,CS6729-2,1 Handset + 1 Base; ,CS6729-26,2 Handsets + 1 Base + 1 Charger; ,CS6729-3,3 Handsets + 1 Base + 2 Chargers; ,CS6729-4,4 Handsets + 1 Base + 3 Chargers; ,CS6729-5,5 Handsets + 1 Base + 4 Chargers; ,CS672Z-XY,X Handsets + 1 Base + (X-1) Chargers; ,CS6829,1 Handset + 1 Base; ,CS6829-2,2 Handsets + 1 Base + 1 Charger; ,CS6829-3,3 Handsets + 1 Base + 2 Chargers; ,CS6829-4,4 Handsets + 1 Base + 3 Chargers; ,CS682Z-XY,X Handsets + 1 Base + (X-1) Chargers",Analog,Cordless,1,None,0.7,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/12/2016,02/24/2016,"United States, Canada",ES_1067513_CS6729-2_02232016165930_2440454
2223609,"VTech Telecommunications, Ltd.",VTECH,CS6859-2,CS6859-2,"CS6758-3,,3 Handsets + 1 Base + 2 Chargers; CS6759,,1 Handset + 1 Base; CS675Z-XY,,X Handsets + 1 Base + (X-1) Chargers; CS6858-3,,3 Handsets + 1 Base + 2 Chargers; CS6859,,1 Handset + 1 Base; CS6859-2,,2 Handsets + 1 Base + 1 Charger; CS6859-3,,1 Handset + 1 Base; CS6859-4,,1 Handset + 1 Base; CS685Z-XY,,X Handsets + 1 Base + (X-1) Chargers",Analog,Cordless,0,None,0.85,0,N/A,Other,None,0,0,0,0,,N/A,Yes,01/02/2013,01/02/2013,"United States, Canada",ES_1067513_CS6859-2_10162014193641_6641046
2253225,"VTech Telecommunications, Ltd.",VTECH,CS6909,CS6909,",CS6909,1HS+1 charger; ,CS6909-15,1HS+1 charger; ,CS6909-16,1HS+1 charger; ,CS6909-17,1HS+1 charger; ,CS6909-19,1HS+1 charger; ,CS690Z-XY,1HS+1 charger",Analog,Additional Handset,0,None,0.2,0,N/A,Other,None,0,0,0,0,,N/A,Yes,10/19/2015,11/23/2015,"United States, Canada",ES_1067513_CS6909_11022015161548_5693475
2260256,"VTech Telecommunications, Ltd.",VTECH,CS6919-2,CS6919-2,",CS691*-#*,#handset(s) + 1 Base(W/o ITAD) + (#-1)Charger; ,CS6919,1 Handset + 1 Base(W/o ITAD); ,CS6919-15,1 Handset + 1 Base(W/o ITAD); ,CS6919-16,1 Handset + 1 Base(W/o ITAD); ,CS6919-17,1 Handset + 1 Base(W/o ITAD); ,CS6919-19,1 Handset + 1 Base(W/o ITAD); ,CS6919-2,2 Handsets + 1 Base(W/o ITAD) + 1 Charger; ,CS6919-25,2 Handsets + 1 Base(W/o ITAD) + 1 Charger; ,CS6919-26,2 Handsets + 1 Base(W/o ITAD) + 1 Charger; ,CS6919-27,2 Handsets + 1 Base(W/o ITAD) + 1 Charger; ,CS6919-29,2 Handsets + 1 Base(W/o ITAD) + 1 Charger; ,CS6919-3,3 Handsets + 1 Base(W/o ITAD) + 2 Chargers; ,CS6919-4,4 Handsets + 1 Base(W/o ITAD) + 3 Chargers",Analog,Cordless,1,None,0.6,0,N/A,Other,None,0,0,0,0,,N/A,Yes,02/05/2016,03/11/2016,"United States, Canada",ES_1067513_CS6919-2_02172016164158_3514062
2253550,"VTech Telecommunications, Ltd.",VTECH,CS6949-2,CS6949-2,",CS6949,1HS+1BS(W/ ITAD)+1charger; ,CS6949-2,1HS+1BS(W/ ITAD)+1charger; ,CS6949-3,3HS+1BS(W/ ITAD)+3chargers; ,CS694Z-XY,XHS+1BS(W/ ITAD)+Xchargers",Analog,Corded,2,None,0.9,0,N/A,Other,None,0,0,0,0,,N/A,Yes,10/19/2015,11/25/2015,"United States, Canada",ES_1067513_CS6949-2_11232015165848_9846307
2230091,"VTech Telecommunications, Ltd.",VTECH,CTM-A2421-BATT,CTM-A2421-BATT,",CTM-A2411-BATT,(1 line) Base + Handset; ,CTM-A2421-BATT,(2 line) Base + Handset",Analog,Cordless,0,None,1.1,0,N/A,Other,None,0,0,0,0,,N/A,Yes,05/12/2014,12/19/2014,"United States, Canada",ES_1067513_CTM-A2421-BATT_12122014161041_3919641
2230092,"VTech Telecommunications, Ltd.",VTECH,CTM-A242HS,CTM-A242HS,",C4011,Charger; ,C4100,1 line handset; ,C4200,2 line handset; ,CTM-A241HS,1 line handset + charger; ,CTM-A242HS,2 line handset + charger",Analog,Additional Handset,0,None,0.1,0,N/A,Other,None,0,0,0,0,,N/A,Yes,05/12/2014,12/19/2014,"United States, Canada",ES_1067513_CTM-A242HS_12122014161447_9168207
2230093,"VTech Telecommunications, Ltd.",VTECH,CTM-A242SD,CTM-A242SD,",C4011,Charger; ,CTM-A241SD,1 line handset + charger; ,CTM-A242SD,2 line handset + charger; ,CTM-A2510,1 line handset + charger + 1xcorded Base; ,CTM-C4101,1 line handset; ,CTM-C4201,2 line handset",Analog,Additional Handset,0,None,0.1,0,N/A,Other,None,0,0,0,0,,N/A,Yes,05/12/2014,12/19/2014,"United States, Canada",ES_1067513_CTM-A242SD_12122014161717_1596032
2303887,"VTech Telecommunications, Ltd.",VTECH,CTM-S2312,CTM-S2312,",CTM-S2312,1 Base(One Line) + 1 HS; ,CTM-S2322,1 Base(Two Line) + 1 HS",Voice over Internet Protocol (VoIP),Corded,0,None,1.8,0,N/A,Other,None,0,1,0,0,,Class 2,No,08/09/2017,09/22/2017,"United States, Canada",ES_1067513_CTM-S2312_09132017153458_5717584
2230715,"VTech Telecommunications, Ltd.",VTECH,CTM-S2421,CTM-S2421,",CTM-S2411,1 line Base + Handset (Powered by PoE); ,CTM-S2421,2 line Base + Handset (Powered by PoE)",Voice over Internet Protocol (VoIP),Cordless,0,None,1.4,0,N/A,Other,None,0,2,0,0,,Class 2,No,12/16/2014,01/06/2015,"United States, Canada",ES_1067513_CTM-S2421_12242014145423_8397485
2230716,"VTech Telecommunications, Ltd.",VTECH,CTM-S242SD,CTM-S242SD,",C4011,Charger; ,CTM-C4401,1 line handset; ,CTM-C4501,2 line handset; ,CTM-S241SD,1 line handset + charger; ,CTM-S242SD,2 line handset + charger",Voice over Internet Protocol (VoIP),Additional Handset,0,None,0.28,0,N/A,Other,None,0,0,0,0,,N/A,Yes,12/16/2014,01/06/2015,"United States, Canada",ES_1067513_CTM-S242SD_12242014150036_6906854
