ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2335029,Magic Chef,MCSFLW27W,,665679018819,Front Load,Delayed Start,Residential,2.7,,1.84,75,3.2,4.7,2549,No,,,,,,01/11/2019,03/13/2019,United States,ES_1107227_MCSFLW27W_03142019050934_0174124,No
2310325,Maytag,MHW3500F**,,883049385105,Front Load,"Other,Delayed Start",Residential,4.5,2.92,1.84,87,3.2,4.7,4210,No,,,,Yes,ES_22856_MED3500FW*_04282016181802_7482117,06/01/2016,02/05/2018,"United States, Canada",ES_22856_MHW3500F**_04262016182410_5050572,No
2310417,Maytag,MHW3500F**,,883049385105,Front Load,"Other,Delayed Start",Residential,4.5,2.92,1.84,87,3.2,4.7,4210,No,,,,Yes,ES_22856_MED3500FW*_04282016181802_7482117,06/01/2016,02/05/2018,"United States, Canada",ES_22856_MHW3500F**_02092018215208_3128980,No
2310294,Maytag,MHW3505F**,,883049381151,Front Load,"Other,Delayed Start",Residential,4.4,2.92,1.84,88,3.2,4.7,4116,No,,,,No,,06/01/2016,02/05/2018,"United States, Canada",ES_22856_MHW3505F**_04262016182213_4933320,No
2310290,Maytag,MHW5500F**,",MHW5500FC,; ,MHW5500FW,",883049385112,Front Load,"Other,Delayed Start",Residential,4.5,2.92,1.84,89,3.2,4.7,4210,No,,,,Yes,ES_22856_MED5500FW*_04282016181839_7519329,06/01/2016,02/05/2018,"United States, Canada",ES_22856_MHW5500F**_04262016181719_4639865,No
2331769,Maytag,MHW5630H**,,883049456959,Front Load,"Anti-Wrinkle,Other,Delayed Start",Residential,4.5,2.76,1.84,128,3.2,4.7,4267,No,,,,Yes,"ES_1129244_MED5630H**_10142018214925_3765911, ES_1129244_MGD5630H**_10142018213837_3117201",12/03/2018,08/24/2018,"United States, Canada",ES_15649_MHW5630H**_10142018184935_2975704,No
2331771,Maytag,MHW6630H**,,883049456966,Front Load,"Anti-Wrinkle,Other,Sanitize Option,Delayed Start",Residential,4.8,2.76,1.84,143,3.2,4.7,4541,No,,,,Yes," ES_1129244_MGD6630H**_10142018213725_3045415,ES_1129244_MED6630H**_10142018214819_3699188",12/03/2018,08/24/2018,"United States, Canada",ES_15649_MHW6630H**_10142018185017_3017925,No
2309302,Amana,NFW5800D**,,883049332208,Front Load,Other,Residential,4.2,2.76,1.84,109,3.2,4.7,3936,No,,,,No,,04/15/2015,01/17/2018,"United States, Canada",ES_22856_NFW5800D*+_04252016201435_5275579,No
2331773,Amana,NFW5800H**,,883049453552,Front Load,"Anti-Wrinkle,Other,Sanitize Option",Residential,4.3,2.76,1.84,123,3.2,4.7,4097,No,,,,No,,12/03/2018,08/24/2018,"United States, Canada",ES_15649_NFW5800H**_10142018185145_3105252,No
2309900,Asko,W2084.W.U,,578206,Front Load,"Anti-Wrinkle,Gentle Cycle,Other,Delayed Start,Hand Wash Cycle",Residential,2,2.31,1.84,75,2.9,4.7,1728,No,,,,Yes,ES_1123023_T208H.W.U_08032017015947_70148998,01/01/2018,02/02/2018,"United States, Canada",ES_1123023_W2084.W.U_02022018102131_70173114,No
2309902,Asko,W4114C.T.U,,578207,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.7,2.41,1.84,75,3.1,4.7,2478,No,,,,No,,10/01/2017,02/02/2018,"United States, Canada",ES_1123023_W4114C.T.U_02022018102131_70173114,No
2309901,Asko,W4114C.W.U,,578205,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.7,2.41,1.84,75,3.1,4.7,2478,No,,,,No,,10/01/2017,02/02/2018,"United States, Canada",ES_1123023_W4114C.W.U_02022018102131_70173114,No
2309903,Asko,W6124X.W.U,,578203,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.7,2.41,1.84,75,3.1,4.7,2478,No,,,,No,,10/01/2018,02/02/2018,"United States, Canada",ES_1123023_W6124X.W.U_02022018102131_70173114,No
2332833,Beko,BWM7200X,,8690842162633,Front Load,"Gentle Cycle,Other,Hand Wash Cycle",Residential,1.9,2.07,1.84,84,3.6,4.7,2060,No,,,,No,,02/01/2019,01/31/2019,United States,ES_1036108_BWM7200X_01312019211435_9275573,No
2318130,Beko,WMY 10148 C0,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WMY 10148 C0_04082015143714_4800989,No
2318078,Beko,WMY 10148 C2,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WMY 10148 C2_12192017095327_3193933,No
2318131,Beko,WMY 10148 W0,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WMY 10148 W0_04102015161443_9456445,No
2318128,Beko,WMY 10148 W2,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WMY 10148 W2_12192017095327_5348458,No
2318135,Beko,WTE 7604XLW0,,8690842002052,Front Load,None,Residential,2,2.09,1.84,67,3.5,4.7,2013,No,None,Other,No,No,,04/01/2015,04/10/2015,"United States, Canada",ES_1036108_WTE 7604XLW0_04082015142803_5956537,No
2332834,Blomberg,WM72200W,,8690842162633,Front Load,"Gentle Cycle,Other,Hand Wash Cycle",Residential,1.9,2.07,1.84,84,3.6,4.7,2060,No,,,,No,,02/01/2019,01/31/2019,United States,ES_1036108_WM72200W_01312019211451_9291862,No
2318134,Blomberg,WM77120,,8690842002052,Front Load,None,Residential,2,2.09,1.84,67,3.5,4.7,2013,No,None,Other,No,No,,04/01/2015,04/10/2015,"United States, Canada",ES_1036108_WM77120_04082015142803_347253,No
2318132,Blomberg,WM 98200 SX,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WM 98200 SX_04132015082955_2813836,No
2318129,Blomberg,WM 98200 SX2,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WM 98200 SX2_12192017095327_9271470,No
2318133,Blomberg,WM 98400 SX,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WM 98400 SX_04082015143714_2796899,No
2318079,Blomberg,WM 98400 SX2,,8690842009631,Front Load,None,Residential,2.5,2.29,1.84,82,3.6,4.7,2655,No,,,No,Yes,DHP24412W and DHP24400W,04/01/2015,04/13/2015,"United States, Canada",ES_1036108_WM 98400 SX2_12192017095327_9320337,No
2311151,Bosch,WAT28400UC,,825225912767,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,No,None,Other,No,Yes,"ES_31649_WTG86401UC_03122015101541_6055414,ES_31649_WTG86402UC_06232015164027_9869806",05/01/2015,03/20/2015,"United States, Canada",ES_31649_WAT28400UC_12192014125456_4933282,No
2311152,Bosch,WAT28401UC,,825225912767,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,No,None,Other,No,Yes,"ES_31649_WTG86401UC_03122015101541_6055414,ES_31649_WTG86402UC_06232015164027_9869806",09/16/2015,03/20/2015,"United States, Canada",ES_31649_WAT28401UC_06232015164156_1305658,No
2311153,Bosch,WAT28402UC,,825225912767,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,No,None,Other,No,Yes,"ES_31649_WTG86401UC_03122015101541_6055414,ES_31649_WTG86402UC_06232015164027_9869806",09/16/2015,03/20/2015,"United States, Canada",ES_31649_WAT28402UC_06232015164156_653955,No
2310610,Bosch,WAW285H2UC,,825225937449,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.2,2.22,1.84,84,3.7,4.7,2358,Yes,,,,Yes,ES_31649_WTG865H3UC_02192019145237_3792688,09/01/2017,05/01/2017,"United States, Canada",ES_31649_WAW285H2UC_04292017160115_8727838,No
2309934,Crosley,CFWH4084G**,,883049444338,Front Load,Other,Residential,4.2,2.92,1.84,85,3.2,4.7,3936,No,,,,No," CED7464GW,CDG7464GW",02/01/2017,02/02/2018,"United States, Canada",ES_92264_CFWH4084G**_01282017165803_2683820,No
2325258,Crosley,YFW450S*M***,",YFW450SPMDG,; ,YFW450SSMWW,",084691841524,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,2.76,1.84,116,3.2,4.7,4220,No,,,,,,09/03/2018,08/22/2018,United States,ES_92264_YFW450S*M***_09032018174229_6549281,No
2310166,Electrolux,EFLS210****,,012505387180,Front Load,None,Residential,2.4,2.13,1.84,90,3.8,4.7,2690,No,,,,No,,01/19/2018,02/24/2014,"United States, Canada",ES_1021080_EFLS210****_02072018120848_70172556,No
2309145,Electrolux,EFLS517****,,12505386688,Front Load,None,Residential,4.3,2.92,1.84,75,3.2,4.7,4059,No,,,,No,EFME517****,01/19/2018,01/02/2018,"United States, Canada",ES_1021080_EFLS517****_01152018115400_70163739,No
2309144,Electrolux,EFLS527****,,12505387265,Front Load,None,Residential,4.3,2.92,1.84,75,3.2,4.7,4059,No,,,,No,ES_1021080_EFME527****_02222018171513_9713937,01/19/2018,01/02/2018,"United States, Canada",ES_1021080_EFLS527****_01152018115400_70163739,Yes
2310165,Electrolux,EFLS617****,,012505386701,Front Load,None,Residential,4.4,2.92,1.84,85,3.2,4.7,4154,No,,,,Yes,ES_1021080_EFME617****_02152016192144_4104308,01/20/2018,02/08/2016,"United States, Canada",ES_1021080_EFLS617****_02072018120848_70172556,No
2310162,Electrolux,EFLS627****,,012505387289,Front Load,None,Residential,4.4,2.92,1.84,85,3.2,4.7,4154,No,,,,No,ES_1021080_EFME627****_02222018171531_9731920,01/19/2018,02/08/2016,"United States, Canada",ES_1021080_EFLS627****_02072018120848_70172556,Yes
2310004,Electrolux,EFLW317****,,012505386947,Front Load,None,Residential,4.3,2.76,1.84,60,3.2,4.7,4059,No,,,,Yes,ES_1021080_EFDE317****_12162016171416_8456738,01/29/2018,01/26/2018,"United States, Canada",ES_1021080_EFLW317****_02052018061855_70167392,No
2310164,Electrolux,EFLW417****,,012505386671,Front Load,None,Residential,4.3,2.92,1.84,60,3.2,4.7,4059,No,,,,Yes,ES_1021080_EFME417****_02152016192532_4332028,01/19/2018,03/01/2016,"United States, Canada",ES_1021080_EFLW417****_02072018120848_70172556,No
2310163,Electrolux,EFLW427****,,012505387258,Front Load,None,Residential,4.3,2.92,1.84,60,3.2,4.7,4059,No,,,,Yes,ES_1021080_EFME427****_02222018171459_9699389,01/19/2018,03/01/2016,"United States, Canada",ES_1021080_EFLW427****_02072018120848_70172556,Yes
2300873,Fisher & Paykel,WH2424F1,,822843962358,Front Load,Steam Cycle,Residential,2.4,2.09,1.84,80,2.8,4.7,1982,No,,,,No,,07/30/2017,07/04/2017,"United States, Canada",ES_0031566_WH2424F1_07172017043721_70133503,No
2300874,Fisher & Paykel,WH2424P1,,822843962365,Front Load,Hand Wash Cycle,Residential,2.4,2.09,1.84,80,2.8,4.7,1982,No,,,,No,,07/30/2017,07/04/2017,"United States, Canada",ES_0031566_WH2424P1_07172017043721_70133503,No
2310611,Gaggenau,WM262700,,825225937449,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.2,2.22,1.84,84,3.7,4.7,2358,Yes,,,,Yes,ES_31649_WTG865H3UC_02192019145237_3792688,06/01/2018,05/01/2017,"United States, Canada",ES_31649_WM262700_01222018131920_8149072,No
2310521,GE,GFW148S*L***,",GFW148SSLWW,",84691824183,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option",Residential,2.4,2.07,1.84,80,4.2,4.7,2912,No,,,,No,,02/09/2017,02/12/2018,United States,ES_1123206_GFW148S*L***_01272017163000_4600814,No
2324849,GE,GFW148S*M***,",,Color: White / White",084691826651,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.4,2.07,1.84,97,4.2,4.7,2961,No,,,,Yes,ES_1123206_GFT14ES*M***_08292018161048_9048548,08/27/2018,08/27/2018,"United States, Canada",ES_1123206_GFW148S*M***_08272018155407_5247195,No
2306811,GE,GFW400S*M***,"GFW400S*M***,GFW400SCMWW,",084691826552,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.1,2.76,1.84,113,3.2,4.7,3852,No,,,,,,12/04/2017,11/27/2017,"United States, Canada",ES_1123206_GFW400S*M***_11272017134821_0501885,No
2310043,GE,GFW430S*M***,",GFW430SSMWW,",84691826569,Front Load,"Gentle Cycle,Other,Delayed Start,Hand Wash Cycle",Residential,4.5,2.76,1.84,123,3.2,4.7,4220,No,,,,,,01/08/2018,02/06/2018,"United States, Canada",ES_1123206_GFW430S*M***_02062018200654_7614614,No
2306813,GE,GFW450S*M***,",GFW450SPMDG,; ,GFW450SSMWW,",084691826576,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,2.76,1.84,116,3.2,4.7,4220,No,,,,,,12/04/2017,11/27/2017,"United States, Canada",ES_1123206_GFW450S*M***_11272017202142_4102375,No
2310529,GE,GFW480S*K***,",GFW480SPKDG,Color: Diamond Gray; UPC 084691820239; ,GFW480SPKRR,Color: Ruby Red; UPC 084691820246; ,GFW480SSKWW,Color: White / White; UPC 084691820222",84691820222,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.9,2.76,1.84,153,2.8,4.7,4047,No,,,,Yes," ES_1123206_GFD49G**K***_10112016171924_6364021,ES_1123206_GFD49E**K***_10122016194625_1585797",10/03/2016,02/12/2018,United States,ES_1123206_GFW480S*K***_02122018160447_1487386,No
2310530,GE,GFW490R*K***,",GFW490RPKDG,; ,GFW490RPKRR,Color: Ruby Red; UPC 084691820277; ,GFW490RSKWW,",84691820253,Front Load,"Gentle Cycle,Steam Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.9,2.76,1.84,153,2.8,4.7,4047,No,,,,Yes," ES_1123206_GFD49G**K***_10112016171924_6364021,ES_1123206_GFD49E**K***_10122016194625_1585797",10/03/2016,02/12/2018,United States,ES_1123206_GFW490R*K***_09232016171647_1007026,No
2310531,GE,GFWR2700H***,",GFWR2700HWW,",84691262916,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,2.8,1.84,134,3,4.7,3947,No,,,,No,,02/15/2014,02/12/2018,United States,ES_1123206_GFWR2700H***_02102015220640_6000039,No
2310532,GE,GFWR2705H***,",GFWR2705HMC,",84691813309,Front Load,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,2.8,1.84,134,3,4.7,3947,No,,,,No,,02/15/2014,02/12/2018,United States,ES_1123206_GFWR2705H***_05292015195527_9327707,No
2306360,GE,GTW470BMM***,,757638972017,Top Load,"Gentle Cycle,Other",Residential,4.2,2.15,1.29,160,4,8.4,4956,No,,,,No,,01/15/2018,11/13/2017,Canada,ES_1123206_GTW470BMM***_11132017183024_7824210,No
2310717,GE,GTW485ASJ2WS,,84691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,No,,,,No,,07/11/2016,02/12/2018,United States,ES_1123206_GTW485ASJ2WS_07082016164550_6350535,No
2310718,GE,GTW485ASJ3WS,,84691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,No,,,,No,,12/12/2016,02/12/2018,United States,ES_1123206_GTW485ASJ3WS_12122016183213_7533056,No
2300602,GE,GTW485ASJ4WS,,084691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5328,No,,,,No,,08/10/2017,07/17/2017,United States,ES_1123206_GTW485ASJ4WS_07172017152347_5027989,No
2319465,GE,GTW485ASJ5WS,,084691815235,Top Load,Gentle Cycle,Residential,4.2,2.06,1.29,152,4.3,8.4,5340,No,,,,No,,05/15/2018,05/07/2018,United States,ES_1123206_GTW485ASJ5WS_05072018173259_4379517,No
2306361,GE,GTW485BMM***,,757638970365,Top Load,"Gentle Cycle,Other",Residential,4.2,2.15,1.29,160,4,8.4,4956,No,,,,No,,01/15/2018,11/13/2017,Canada,ES_1123206_GTW485BMM***_11132017183121_7881406,No
2310625,GE,GTW490ACJ2WS,",GTW490ACJ2WW,",84691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,07/11/2016,02/12/2018,United States,ES_1123206_GTW490ACJ2WS_07082016164117_6077407,No
2310626,GE,GTW490ACJ3WS,",GTW490ACJ3WW,",84691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,12/12/2016,02/12/2018,United States,ES_1123206_GTW490ACJ3WS_12122016183244_7564196,No
2300603,GE,GTW490ACJ4WS,",GTW490ACJ4WW,",084691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5322,No,,,,No,,08/10/2017,07/17/2017,United States,ES_1123206_GTW490ACJ4WS_07172017153609_5769395,No
2319462,GE,GTW490ACJ5WS,,084691815884,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,05/15/2018,05/07/2018,United States,ES_1123206_GTW490ACJ5WS_05072018173126_4286987,No
2319463,GE,GTW490ACJ5WW,,084691812012,Top Load,Gentle Cycle,Residential,4.4,2.07,1.29,133,4.1,8.4,5273,No,,,,No,,05/15/2018,05/07/2018,United States,ES_1123206_GTW490ACJ5WW_05072018173157_4317660,No
2331678,GE,GTW500A*N***,",GTW500ASNWS,Color: White / Silver",084691845638,Top Load,"Gentle Cycle,Delayed Start",Residential,4.6,2.06,1.29,175,4.3,8.4,5860,No,,,,,,12/17/2018,12/05/2018,"United States, Canada",ES_1123206_GTW500A*N***_12052018194545_9145154,No
2333287,GE,GTW560BM***,,757638359092,Top Load,Other,Residential,4.3,2.2,1.29,137,3.7,8.4,4726,No,,,,No,,01/02/2019,02/11/2019,Canada,ES_1123206_GTW560BM***_02112019161938_1978986,No
2333288,GE,GTW575BM***,,757638359108,Top Load,Other,Residential,4.3,2.2,1.29,137,3.7,8.4,4726,No,,,,No,,01/02/2019,02/11/2019,Canada,ES_1123206_GTW575BM***_02112019161952_1992693,No
2306362,GE,GTW680BMM**,,757638970372,Top Load,"Gentle Cycle,Other",Residential,4.6,2.16,1.29,165,3.4,8.4,4624,No,,,,No,,01/15/2018,11/13/2017,Canada,ES_1123206_GTW680BMM**_11132017183220_7940632,No
2306363,GE,GTW680BMM**,,757638973697,Top Load,"Gentle Cycle,Other",Residential,4.6,2.16,1.29,165,3.4,8.4,4624,No,,,,No,,01/15/2018,11/13/2017,Canada,ES_1123206_GTW680BMM**_11132017183256_7976844,No
2300604,GE,GTW680BPL0DG,,084691825722,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"ES_1123206_GTD65EB*L***_06052017120810_4490815, ES_1123206_GTD65GB*L***_06052017123211_5931413",06/19/2017,07/26/2017,United States,ES_1123206_GTW680BPL0DG_07262017165842_8322647,No
2319459,GE,GTW680BPL1DG,",,Color: Diamond Gray",084691825722,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"ES_1123206_GTD65EB*L***_06052017120810_4490815, ES_1123206_GTD65GB*L***_06052017123211_5931413",05/15/2018,05/07/2018,United States,ES_1123206_GTW680BPL1DG_05072018173057_4257760,No
2310662,GE,GTW680BSJ3WS,",,Color: White / Silver",84691810780,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",07/11/2016,02/12/2018,United States,ES_1123206_GTW680BSJ3WS_07082016164816_6496700,No
2310660,GE,GTW680BSJ4WS,",,Color: White / Silver",84691810780,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",12/12/2016,02/12/2018,United States,ES_1123206_GTW680BSJ4WS_02142018122007_0807403,No
2310661,GE,GTW680BSJ5WS,",,Color: White / Silver",84691810780,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",05/01/2017,02/12/2018,United States,ES_1123206_GTW680BSJ4WS_12122016184150_8110488,No
2319460,GE,GTW680BSJ6WS,",,Color: White / Silver",084691810780,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.6,2.08,1.29,143,3.6,8.4,4906,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",05/15/2018,05/07/2018,United States,ES_1123206_GTW680BSJ6WS_05072018171942_3582003,No
2310720,GE,GTW685B*L***,",GTW685BPLDG,Color - Diamond Gray, UPC - 084691825739; ,GTW685BSLWS,Color - White / Silver, UPC - 084691825609",84691825609,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,4.5,2.06,1.29,150,4.3,8.4,5683,No,,,,Yes,"ES_1123206_GTD65EB*J***_08242015154618_1178596, ES_1123206_GTD65GB*J***_08242015155701_1821764",05/03/2017,02/12/2018,United States,ES_1123206_GTW685B*L***_05082017184751_9271148,No
2310722,GE,GTW750C*L***,",GTW750CPLDG,Color: Diamond Gray UPC: 084691825746; ,GTW750CSLWS,Color: White / Silver, UPC: 084691825623",84691825623,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,5,2.06,1.29,176,4.3,8.4,6381,No,,,,Yes,"ES_1123206_GTD75ECSL***_06022017183522_8522094, ES_1123206_GTD75GCPL***_06022017200011_3611781, ES_1123206_GTD75GCSL***_06022017195146_3106632, ES_1123206_GTD75ECPL***_06022017183849_8729939",05/30/2017,02/12/2018,"United States, Canada",ES_1123206_GTW750C*L***_05242017160757_2077084,No
2316641,GE,GTW755C*M***,",GTW755CPMDG,",84691832263,Top Load,"Gentle Cycle,Other,Delayed Start",Residential,4.9,2.06,1.29,181,4.3,8.4,6203,No,,,,Yes,ES_1123206_GTD75ECPL***_06022017183849_8729939,04/09/2018,03/30/2018,"United States, Canada",ES_1123206_GTW755C*M***_04032018212851_0931327,No
2316642,GE,GTW755C*M***,",,Color: White / Silver; ,GTW755CSMWS,Color: White / Silver",84691832256,Top Load,"Gentle Cycle,Other,Delayed Start",Residential,4.9,2.06,1.29,181,4.3,8.4,6203,No,,,,Yes,ES_1123206_GTD75ECSL***_06022017183522_8522094,04/09/2018,03/30/2018,"United States, Canada",ES_1123206_GTW755C*M***_04032018213217_1137895,No
2310560,GE,GTW810S*J***,",GTW810SPJMC,Color: Metallic Carbon; UPC 084691812876; ,GTW810SSJWS,Color: White / Silver; UPC 084691810094",84691810094,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,5.1,2.76,1.29,152,3.5,8.4,5245,No,,,,Yes,"ES_1123206_GTD81ESPJ2MC_05132016163118_7078773, ES_1123206_GTD81GS*J***_05042015175359_2039033",04/20/2015,02/12/2018,United States,ES_1123206_GTW810S*J***_04302015180548_7148523,No
2310561,GE,GTW860S*J***,",GTW860SPJMC,Color: Metallic Carbon; UPC 084691810179; ,GTW860SSJWS,Color: White / Silver; UPC 084691810162",84691810162,Top Load,"Gentle Cycle,Delayed Start,Sanitize Option",Residential,5.1,2.76,1.29,152,3.5,8.4,5245,No,,,,Yes," ES_1123206_GTD86GS*J***_05042015175141_1901305,ES_1123206_GTD86ES*J***_04172015164445_9085180",04/20/2015,02/12/2018,United States,ES_1123206_GTW860S*J***_04302015175921_6761983,No
2331684,GE,GUD27EE*N***,",GUD27EESNWW,Color: White",084691844198,Top Load,Gentle Cycle,Residential,4,2.06,1.29,140,4.3,8.4,5011,No,,,,,,12/10/2018,11/30/2018,United States,ES_1123206_GUD27EE*N***_12032018150843_9723388,No
2331685,GE,GUD27EE*N***,",GUD27EEMNWW,Color: White",757638359115,Top Load,Gentle Cycle,Residential,4,2.06,1.29,140,4.3,8.4,5011,No,,,,,,12/10/2018,11/30/2018,Canada,ES_1123206_GUD27EE*N***_12172018162946_4186828,No
2331687,GE,GUD27GE*N***,",GUD27GESNWW,Color: White",084691844181,Top Load,Gentle Cycle,Residential,4,2.06,1.29,140,4.3,8.4,5011,No,,,,,,12/10/2018,11/30/2018,United States,ES_1123206_GUD27GE*N***_12172018164614_5174137,No
2331686,GE,GUD37EE*N***,",GUD37EEMNDG,Color: Diamond Gray",757638359122,Top Load,Gentle Cycle,Residential,4,2.06,1.29,140,4.3,8.4,5011,No,,,,,,12/10/2018,11/30/2018,Canada,ES_1123206_GUD37EE*N***_12172018163621_4581447,No
2310465,GE,WCVH4800****,,084691191063,Front Load,Other,Residential,2.2,2.1,1.84,99,4.1,4.7,2685,No,,,,No,,04/01/2015,03/05/2015,"United States, Canada",ES_1023593_WCVH4800****_02092018060252_70172127,No
2310522,GE,WCVH4800K***,",WCVH4800KWW,",84691191063,Front Load,"Gentle Cycle,Delayed Start,Hand Wash Cycle",Residential,2.2,2.1,1.84,99,4.1,4.7,2685,No,,,,No,,03/13/2015,02/12/2018,"United States, Canada",ES_1123206_WCVH4800K***_03122015165310_9190332,No
2331774,Inglis,IFW5900H**,,883049473079,Front Load,"Anti-Wrinkle,Other,Sanitize Option",Residential,4.3,2.76,1.84,123,3.2,4.7,4097,No,,,,No,,12/03/2018,08/24/2018,"United States, Canada",ES_15649_IFW5900H**_10142018185237_3157188,No
2305859,Insignia,NS-TWM48WH8B,,600603216275,Top Load,None,Residential,4.8,2.06,1.29,92,4.3,8.4,6025,No,,,,No,,10/12/2017,10/12/2017,Canada,ES_1059185_NS-TWM48WH8B_10242017075052_1452177,No
2310410,Kenmore,2613*41*,,883049334691,Top Load,Other,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,03/23/2015,02/08/2018,"United States, Canada",ES_15649_2613*41*_02092018170246_5766555,No
