ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2310408,Whirlpool,WTW7000D**,,883049330822,Top Load,"Other,Delayed Start",Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW7000D*+_04262016231656_2616796,No
2310395,Whirlpool,WTW7040D**,,883049346441,Top Load,"Other,Delayed Start",Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW7040D*+_04262016232025_2825705,No
2310407,Whirlpool,WTW7300D**,,883049347202,Top Load,"Other,Delayed Start",Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW7300D*+_04262016232358_3038963,No
2309992,Whirlpool,WTW7500G**,,883049446196,Top Load,"Other,Delayed Start",Residential,4.8,2.06,1.29,212,4.3,8.4,6076,No,,,,No,,09/01/2017,02/05/2018,"United States, Canada",ES_22856_WTW7500G**_05272017000424_3464833,No
2310404,Whirlpool,WTW8000D**,,883049330754,Top Load,Other,Residential,5.3,2.06,1.29,196,4.3,8.4,6698,No,,,,Yes,ES_22856_WED8000D*+_05032016182429_9869058,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW8500D*+_04272016152904_0944270,No
2310393,Whirlpool,WTW8000D*+,,883049330754,Top Load,Other,Residential,5.3,2.06,1.29,196,4.3,8.4,6698,No,,,,Yes,ES_22856_WED8000D*+_05032016182429_9869058,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW8000D*+_04262016232811_3291660,No
2310396,Whirlpool,WTW8040D**,,883049346458,Top Load,Other,Residential,5.3,2.06,1.29,196,4.3,8.4,6698,No,,,,Yes,ES_22856_WED8000D*+_05032016182429_9869058,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW8040D*+_04262016233212_3532536,No
2327434,Whirlpool,WTW8500D*+,,883049330761,Top Load,Other,Residential,5.3,2.06,1.29,196,4.3,8.4,6698,No,,,,Yes,ES_22856_WED8500D*+_05032016182742_0062788,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW8500D*+_02092018221508_4508425,No
2310391,Whirlpool,WTW8510F**,,883049402734,Top Load,"Other,Delayed Start",Residential,5.3,2.06,1.29,194,4.3,8.4,6698,No,,,,No,,06/01/2016,02/05/2018,"United States, Canada",ES_22856_WTW8510F**_04272016153742_1462783,No
2307388,Whirlpool,WTW8700E**,,883049366067,Top Load,Other,Residential,5.3,2.06,1.29,251,4.3,8.4,6698,Yes,Wi-Fi,Other,No,Yes,ES_22856_WED8700E**_05032016193738_4258822,06/01/2016,12/05/2017,"United States, Canada",ES_22856_WTW8700E**_04272016154018_1618713,No
